"Method","Trait","pval","estimate","se","lower","upper","length"
"MVMR-IVW",1,1e-06,0.035,0.082,-0.126,0.196,0.322
"MVMR-IVW",1,1e-08,0.055,0.083,-0.108,0.218,0.326
"GRAPPLE",1,0.01,0.143,0.456,-0.751,1.038,1.789
"GRAPPLE",1,1e-04,0.191,0.351,-0.497,0.879,1.376
"GRAPPLE",1,1e-06,0.123,0.342,-0.547,0.793,1.34
"GRAPPLE",1,1e-08,0.25,0.363,-0.46,0.961,1.421
"MVMR-Egger",1,0.01,0.036,0.07,-0.101,0.173,0.274
"MVMR-Egger",1,1e-04,0.052,0.078,-0.1,0.204,0.304
"MVMR-Egger",1,1e-06,0.034,0.083,-0.128,0.196,0.324
"MVMR-Egger",1,1e-08,0.055,0.083,-0.109,0.218,0.327
"MVMR-Robust",1,0.01,0.029,0.056,-0.081,0.139,0.22
"MVMR-Robust",1,1e-04,0.05,0.06,-0.068,0.168,0.236
"MVMR-Robust",1,1e-06,0.029,0.063,-0.095,0.152,0.247
"MVMR-Robust",1,1e-08,0.026,0.068,-0.108,0.16,0.268
"MVMR-cML",1,0.01,0.353,0.133,0.093,0.614,0.521
"MVMR-cML",1,1e-04,0.417,0.141,0.141,0.694,0.553
"MVMR-cML",1,1e-06,0.077,0.083,-0.087,0.24,0.327
"MVMR-cML",1,1e-08,0.433,0.147,0.144,0.722,0.578
"FLOW-MR",1,0.01,0.213,0.136,-0.045,0.495,0.54
"FLOW-MR",1,1e-04,0.23,0.144,-0.037,0.527,0.564
"FLOW-MR",1,1e-06,0.186,0.145,-0.082,0.486,0.568
"FLOW-MR",1,1e-08,0.208,0.152,-0.079,0.519,0.598
"MVMR-Horse",1,0.01,0.063,0.099,-0.134,0.258,0.392
"MVMR-Horse",1,1e-04,0.102,0.107,-0.112,0.311,0.423
"MVMR-Horse",1,1e-06,0.047,0.106,-0.158,0.253,0.411
"MVMR-Horse",1,1e-08,0.049,0.11,-0.17,0.261,0.431
"FLOW-MR-indirect",1,0.01,0.677,0,0.392,0.948,0.556
"FLOW-MR-indirect",1,1e-04,0.698,0,0.395,0.973,0.578
"FLOW-MR-indirect",1,1e-06,0.684,0,0.376,1.048,0.672
"FLOW-MR-indirect",1,1e-08,0.665,0,0.337,0.995,0.658
"MVMR-IVW",1,0.01,0.056,0.065,-0.07,0.183,0.253
"MVMR-IVW",1,1e-04,0.086,0.069,-0.05,0.222,0.272
"MVMR-IVW",1,1e-06,0.081,0.073,-0.062,0.224,0.286
"MVMR-IVW",1,1e-08,0.067,0.075,-0.079,0.214,0.293
"GRAPPLE",1,0.01,0.2,0.16,-0.114,0.513,0.627
"GRAPPLE",1,1e-04,0.21,0.147,-0.078,0.498,0.576
"GRAPPLE",1,1e-06,0.187,0.149,-0.105,0.479,0.584
"GRAPPLE",1,1e-08,0.2,0.158,-0.109,0.51,0.619
"MVMR-Egger",1,0.01,0.051,0.064,-0.075,0.177,0.252
"MVMR-Egger",1,1e-04,0.079,0.069,-0.057,0.214,0.271
"MVMR-Egger",1,1e-06,0.078,0.073,-0.065,0.222,0.287
"MVMR-Egger",1,1e-08,0.069,0.075,-0.078,0.215,0.293
"MVMR-Robust",1,0.01,0.027,0.061,-0.092,0.146,0.238
"MVMR-Robust",1,1e-04,0.05,0.065,-0.076,0.177,0.253
"MVMR-Robust",1,1e-06,0.058,0.067,-0.073,0.189,0.262
"MVMR-Robust",1,1e-08,0.051,0.071,-0.087,0.19,0.277
"MVMR-cML",1,0.01,0.134,0.106,-0.075,0.342,0.417
"MVMR-cML",1,1e-04,0.312,0.108,0.101,0.523,0.422
"MVMR-cML",1,1e-06,0.296,0.1,0.101,0.491,0.39
"MVMR-cML",1,1e-08,0.304,0.114,0.081,0.527,0.446
"FLOW-MR",1,0.01,0.131,0.114,-0.087,0.367,0.454
"FLOW-MR",1,1e-04,0.159,0.117,-0.065,0.395,0.46
"FLOW-MR",1,1e-06,0.16,0.116,-0.063,0.395,0.458
"FLOW-MR",1,1e-08,0.166,0.119,-0.063,0.399,0.462
"MVMR-Horse",1,0.01,-0.016,0.092,-0.2,0.162,0.362
"MVMR-Horse",1,1e-04,0.029,0.091,-0.144,0.209,0.353
"MVMR-Horse",1,1e-06,0.034,0.094,-0.153,0.215,0.368
"MVMR-Horse",1,1e-08,0.033,0.097,-0.159,0.218,0.377
"FLOW-MR-indirect",1,0.01,0.659,0,0.408,0.923,0.515
"FLOW-MR-indirect",1,1e-04,0.667,0,0.411,0.933,0.522
"FLOW-MR-indirect",1,1e-06,0.656,0,0.427,0.907,0.48
"FLOW-MR-indirect",1,1e-08,0.624,0,0.34,0.918,0.578
"MVMR-IVW",1,0.01,-0.038,0.065,-0.164,0.089,0.253
"MVMR-IVW",1,1e-04,-0.049,0.069,-0.185,0.086,0.271
"MVMR-IVW",1,1e-06,-0.057,0.073,-0.2,0.085,0.285
"MVMR-IVW",1,1e-08,-0.066,0.074,-0.212,0.08,0.292
"GRAPPLE",1,0.01,-0.046,0.14,-0.321,0.229,0.55
"GRAPPLE",1,1e-04,-0.024,0.137,-0.293,0.245,0.538
"GRAPPLE",1,1e-06,-0.021,0.133,-0.283,0.24,0.523
"GRAPPLE",1,1e-08,-0.088,0.144,-0.37,0.194,0.564
"MVMR-Egger",1,0.01,-0.039,0.064,-0.164,0.087,0.251
"MVMR-Egger",1,1e-04,-0.049,0.069,-0.184,0.085,0.269
"MVMR-Egger",1,1e-06,-0.056,0.073,-0.198,0.087,0.285
"MVMR-Egger",1,1e-08,-0.058,0.074,-0.203,0.086,0.289
"MVMR-Robust",1,0.01,-0.025,0.065,-0.153,0.103,0.256
"MVMR-Robust",1,1e-04,-0.033,0.069,-0.168,0.102,0.27
"MVMR-Robust",1,1e-06,-0.032,0.074,-0.177,0.113,0.29
"MVMR-Robust",1,1e-08,-0.07,0.077,-0.222,0.082,0.304
"MVMR-cML",1,0.01,0.214,0.091,0.037,0.392,0.355
"MVMR-cML",1,1e-04,0.2,0.102,0.001,0.399,0.398
"MVMR-cML",1,1e-06,0.212,0.111,-0.006,0.43,0.436
"MVMR-cML",1,1e-08,0.086,0.102,-0.113,0.285,0.398
"FLOW-MR",1,0.01,-0.037,0.119,-0.267,0.203,0.47
"FLOW-MR",1,1e-04,-0.048,0.124,-0.285,0.203,0.488
"FLOW-MR",1,1e-06,-0.047,0.121,-0.285,0.181,0.466
"FLOW-MR",1,1e-08,-0.082,0.127,-0.334,0.165,0.499
"MVMR-Horse",1,0.01,-0.072,0.103,-0.278,0.125,0.403
"MVMR-Horse",1,1e-04,-0.088,0.104,-0.293,0.115,0.408
"MVMR-Horse",1,1e-06,-0.069,0.102,-0.267,0.134,0.401
"MVMR-Horse",1,1e-08,-0.124,0.109,-0.336,0.088,0.424
"FLOW-MR-indirect",1,0.01,0.864,0,0.587,1.132,0.545
"FLOW-MR-indirect",1,1e-04,0.855,0,0.514,1.215,0.701
"FLOW-MR-indirect",1,1e-06,0.823,0,0.553,1.135,0.582
"FLOW-MR-indirect",1,1e-08,0.89,0,0.596,1.213,0.617
"MVMR-IVW",1,0.01,0.047,0.065,-0.082,0.175,0.257
"MVMR-IVW",1,1e-04,0.052,0.071,-0.087,0.191,0.278
"MVMR-IVW",1,1e-06,0.016,0.074,-0.13,0.162,0.292
"MVMR-IVW",1,1e-08,0.025,0.075,-0.122,0.172,0.294
"GRAPPLE",1,0.01,0.081,0.123,-0.16,0.321,0.481
"GRAPPLE",1,1e-04,0.106,0.137,-0.163,0.375,0.538
"GRAPPLE",1,1e-06,0.032,0.127,-0.218,0.281,0.499
"GRAPPLE",1,1e-08,0.032,0.119,-0.2,0.265,0.465
"MVMR-Egger",1,0.01,0.043,0.065,-0.084,0.171,0.255
"MVMR-Egger",1,1e-04,0.048,0.07,-0.09,0.186,0.276
"MVMR-Egger",1,1e-06,0.015,0.074,-0.131,0.161,0.292
"MVMR-Egger",1,1e-08,0.035,0.075,-0.111,0.182,0.293
"MVMR-Robust",1,0.01,0.04,0.061,-0.08,0.16,0.24
"MVMR-Robust",1,1e-04,0.044,0.069,-0.09,0.179,0.269
"MVMR-Robust",1,1e-06,0.008,0.068,-0.124,0.14,0.264
"MVMR-Robust",1,1e-08,0.009,0.07,-0.128,0.146,0.274
"MVMR-cML",1,0.01,-0.138,0.106,-0.347,0.071,0.418
"MVMR-cML",1,1e-04,0.071,0.094,-0.112,0.255,0.367
"MVMR-cML",1,1e-06,-0.175,0.098,-0.367,0.017,0.384
"MVMR-cML",1,1e-08,-0.127,0.086,-0.295,0.042,0.337
"FLOW-MR",1,0.01,0.082,0.108,-0.132,0.294,0.426
"FLOW-MR",1,1e-04,0.088,0.116,-0.131,0.322,0.453
"FLOW-MR",1,1e-06,0.061,0.114,-0.163,0.289,0.452
"FLOW-MR",1,1e-08,0.067,0.112,-0.154,0.286,0.44
"MVMR-Horse",1,0.01,0.031,0.093,-0.145,0.222,0.367
"MVMR-Horse",1,1e-04,0.038,0.099,-0.148,0.238,0.386
"MVMR-Horse",1,1e-06,-0.01,0.092,-0.19,0.171,0.361
"MVMR-Horse",1,1e-08,-0.003,0.091,-0.179,0.175,0.354
"FLOW-MR-indirect",1,0.01,0.833,0,0.621,1.06,0.439
"FLOW-MR-indirect",1,1e-04,0.88,0,0.662,1.13,0.468
"FLOW-MR-indirect",1,1e-06,0.898,0,0.634,1.17,0.536
"FLOW-MR-indirect",1,1e-08,0.899,0,0.624,1.162,0.538
"MVMR-IVW",1,0.01,0.027,0.07,-0.11,0.163,0.273
"MVMR-IVW",1,1e-04,0.007,0.075,-0.14,0.154,0.294
"MVMR-IVW",1,1e-06,0.024,0.077,-0.127,0.174,0.301
"MVMR-IVW",1,1e-08,0.038,0.078,-0.115,0.191,0.306
"GRAPPLE",1,0.01,0.103,0.132,-0.157,0.362,0.519
"GRAPPLE",1,1e-04,0.057,0.132,-0.202,0.315,0.517
"GRAPPLE",1,1e-06,0.072,0.119,-0.161,0.306,0.467
"GRAPPLE",1,1e-08,0.078,0.119,-0.156,0.312,0.468
"MVMR-Egger",1,0.01,0.021,0.069,-0.115,0.157,0.272
"MVMR-Egger",1,1e-04,0.006,0.075,-0.14,0.152,0.292
"MVMR-Egger",1,1e-06,0.023,0.077,-0.127,0.174,0.301
"MVMR-Egger",1,1e-08,0.043,0.078,-0.109,0.196,0.305
"MVMR-Robust",1,0.01,0.037,0.061,-0.083,0.158,0.241
"MVMR-Robust",1,1e-04,0.018,0.064,-0.108,0.144,0.252
"MVMR-Robust",1,1e-06,0.018,0.062,-0.104,0.141,0.245
"MVMR-Robust",1,1e-08,0.018,0.064,-0.108,0.143,0.251
"MVMR-cML",1,0.01,0.497,0.122,0.258,0.736,0.478
"MVMR-cML",1,1e-04,0.396,0.109,0.183,0.609,0.426
"MVMR-cML",1,1e-06,0.281,0.096,0.092,0.47,0.378
"MVMR-cML",1,1e-08,0.549,0.188,0.18,0.917,0.737
"FLOW-MR",1,0.01,0.091,0.111,-0.127,0.31,0.437
"FLOW-MR",1,1e-04,0.058,0.117,-0.171,0.29,0.461
"FLOW-MR",1,1e-06,0.057,0.111,-0.16,0.276,0.436
"FLOW-MR",1,1e-08,0.076,0.114,-0.149,0.302,0.451
"MVMR-Horse",1,0.01,0.076,0.098,-0.117,0.262,0.379
"MVMR-Horse",1,1e-04,0.052,0.102,-0.155,0.252,0.407
"MVMR-Horse",1,1e-06,0.021,0.096,-0.167,0.21,0.377
"MVMR-Horse",1,1e-08,0.018,0.096,-0.171,0.21,0.381
"FLOW-MR-indirect",1,0.01,0.723,0,0.472,0.99,0.518
"FLOW-MR-indirect",1,1e-04,0.759,0,0.497,1.047,0.55
"FLOW-MR-indirect",1,1e-06,0.724,0,0.43,1.06,0.63
"FLOW-MR-indirect",1,1e-08,0.65,0,0.383,0.932,0.549
"MVMR-IVW",1,0.01,-0.004,0.074,-0.15,0.142,0.292
"MVMR-IVW",1,1e-04,-0.005,0.08,-0.162,0.152,0.314
"MVMR-IVW",1,1e-06,-0.032,0.081,-0.191,0.126,0.317
"MVMR-IVW",1,1e-08,-0.05,0.079,-0.205,0.104,0.309
"GRAPPLE",1,0.01,0.061,0.178,-0.288,0.41,0.698
"GRAPPLE",1,1e-04,0.072,0.234,-0.387,0.531,0.918
"GRAPPLE",1,1e-06,-0.004,0.176,-0.349,0.342,0.691
"GRAPPLE",1,1e-08,-0.021,0.196,-0.405,0.362,0.767
"MVMR-Egger",1,0.01,-0.009,0.075,-0.155,0.137,0.292
"MVMR-Egger",1,1e-04,-0.009,0.08,-0.166,0.148,0.314
"MVMR-Egger",1,1e-06,-0.033,0.081,-0.192,0.126,0.318
"MVMR-Egger",1,1e-08,-0.048,0.079,-0.202,0.107,0.309
"MVMR-Robust",1,0.01,-0.034,0.062,-0.156,0.088,0.244
"MVMR-Robust",1,1e-04,-0.033,0.066,-0.163,0.096,0.259
"MVMR-Robust",1,1e-06,-0.052,0.067,-0.183,0.078,0.261
"MVMR-Robust",1,1e-08,-0.077,0.067,-0.209,0.054,0.263
"MVMR-cML",1,0.01,0.096,0.106,-0.111,0.303,0.414
"MVMR-cML",1,1e-04,0.076,0.115,-0.15,0.302,0.452
"MVMR-cML",1,1e-06,0.017,0.125,-0.229,0.262,0.491
"MVMR-cML",1,1e-08,-0.055,0.13,-0.31,0.2,0.51
"FLOW-MR",1,0.01,0.008,0.13,-0.246,0.266,0.512
"FLOW-MR",1,1e-04,0.004,0.139,-0.269,0.276,0.545
"FLOW-MR",1,1e-06,-0.014,0.13,-0.263,0.249,0.512
"FLOW-MR",1,1e-08,-0.04,0.13,-0.297,0.215,0.512
"MVMR-Horse",1,0.01,-0.152,0.108,-0.358,0.068,0.426
"MVMR-Horse",1,1e-04,-0.134,0.11,-0.351,0.08,0.431
"MVMR-Horse",1,1e-06,-0.12,0.102,-0.328,0.085,0.413
"MVMR-Horse",1,1e-08,-0.146,0.101,-0.347,0.056,0.403
"FLOW-MR-indirect",1,0.01,0.877,0,0.633,1.15,0.517
"FLOW-MR-indirect",1,1e-04,0.892,0,0.629,1.197,0.568
"FLOW-MR-indirect",1,1e-06,0.878,0,0.64,1.147,0.507
"FLOW-MR-indirect",1,1e-08,0.882,0,0.61,1.204,0.594
"MVMR-IVW",1,0.01,0.036,0.076,-0.113,0.185,0.298
"MVMR-IVW",1,1e-04,0.007,0.081,-0.151,0.166,0.317
"MVMR-IVW",1,1e-06,-0.001,0.084,-0.167,0.164,0.331
"MVMR-IVW",1,1e-08,0.062,0.083,-0.101,0.224,0.325
"GRAPPLE",1,0.01,0.202,0.175,-0.142,0.546,0.688
"GRAPPLE",1,1e-04,0.12,0.172,-0.217,0.457,0.674
"GRAPPLE",1,1e-06,0.074,0.17,-0.26,0.407,0.667
"GRAPPLE",1,1e-08,0.093,0.157,-0.216,0.401,0.617
"MVMR-Egger",1,0.01,0.019,0.076,-0.13,0.167,0.297
"MVMR-Egger",1,1e-04,-0.001,0.081,-0.16,0.158,0.318
"MVMR-Egger",1,1e-06,-0.006,0.085,-0.172,0.16,0.332
"MVMR-Egger",1,1e-08,0.059,0.082,-0.103,0.221,0.324
"MVMR-Robust",1,0.01,0.049,0.068,-0.085,0.182,0.267
"MVMR-Robust",1,1e-04,0.024,0.069,-0.111,0.16,0.271
"MVMR-Robust",1,1e-06,-0.004,0.068,-0.138,0.129,0.267
"MVMR-Robust",1,1e-08,0.013,0.068,-0.12,0.147,0.267
"MVMR-cML",1,0.01,-0.289,0.107,-0.499,-0.079,0.42
"MVMR-cML",1,1e-04,-0.316,0.104,-0.52,-0.112,0.408
"MVMR-cML",1,1e-06,-0.115,0.132,-0.374,0.145,0.519
"MVMR-cML",1,1e-08,0.208,0.137,-0.059,0.476,0.535
"FLOW-MR",1,0.01,0.022,0.134,-0.239,0.285,0.524
"FLOW-MR",1,1e-04,0.014,0.135,-0.248,0.278,0.526
"FLOW-MR",1,1e-06,0.002,0.135,-0.265,0.27,0.535
"FLOW-MR",1,1e-08,0.053,0.134,-0.208,0.323,0.531
"MVMR-Horse",1,0.01,0.024,0.122,-0.216,0.265,0.481
"MVMR-Horse",1,1e-04,-0.014,0.127,-0.259,0.237,0.496
"MVMR-Horse",1,1e-06,-0.056,0.114,-0.279,0.174,0.453
"MVMR-Horse",1,1e-08,0.012,0.111,-0.2,0.233,0.433
"FLOW-MR-indirect",1,0.01,0.802,0,0.526,1.12,0.594
"FLOW-MR-indirect",1,1e-04,0.806,0,0.552,1.123,0.571
"FLOW-MR-indirect",1,1e-06,0.717,0,0.397,1.09,0.693
"FLOW-MR-indirect",1,1e-08,0.733,0,0.424,1.048,0.624
"MVMR-IVW",1,0.01,0.116,0.07,-0.02,0.253,0.273
"MVMR-IVW",1,1e-04,0.113,0.075,-0.034,0.261,0.295
"MVMR-IVW",1,1e-06,0.087,0.08,-0.071,0.244,0.315
"MVMR-IVW",1,1e-08,0.08,0.079,-0.075,0.235,0.31
"GRAPPLE",1,0.01,0.296,0.161,-0.019,0.612,0.631
"GRAPPLE",1,1e-04,0.266,0.146,-0.02,0.552,0.572
"GRAPPLE",1,1e-06,0.2,0.144,-0.082,0.482,0.564
"GRAPPLE",1,1e-08,0.178,0.14,-0.096,0.453,0.549
"MVMR-Egger",1,0.01,0.118,0.07,-0.019,0.255,0.274
"MVMR-Egger",1,1e-04,0.114,0.076,-0.034,0.263,0.297
"MVMR-Egger",1,1e-06,0.086,0.081,-0.072,0.244,0.316
"MVMR-Egger",1,1e-08,0.082,0.08,-0.074,0.238,0.312
"MVMR-Robust",1,0.01,0.147,0.061,0.028,0.266,0.238
"MVMR-Robust",1,1e-04,0.146,0.064,0.021,0.27,0.249
"MVMR-Robust",1,1e-06,0.127,0.066,-0.002,0.257,0.259
"MVMR-Robust",1,1e-08,0.114,0.068,-0.02,0.248,0.268
"MVMR-cML",1,0.01,0.474,0.116,0.247,0.701,0.454
"MVMR-cML",1,1e-04,0.381,0.117,0.151,0.61,0.459
"MVMR-cML",1,1e-06,0.576,0.118,0.345,0.808,0.463
"MVMR-cML",1,1e-08,0.475,0.102,0.274,0.675,0.401
"FLOW-MR",1,0.01,0.241,0.123,0.003,0.485,0.482
"FLOW-MR",1,1e-04,0.214,0.128,-0.033,0.471,0.504
"FLOW-MR",1,1e-06,0.178,0.127,-0.067,0.426,0.493
"FLOW-MR",1,1e-08,0.152,0.127,-0.101,0.399,0.5
"MVMR-Horse",1,0.01,0.278,0.103,0.076,0.481,0.405
"MVMR-Horse",1,1e-04,0.277,0.112,0.057,0.505,0.448
"MVMR-Horse",1,1e-06,0.232,0.107,0.029,0.44,0.411
"MVMR-Horse",1,1e-08,0.201,0.108,-0.007,0.406,0.413
"FLOW-MR-indirect",1,0.01,0.732,0,0.482,1.002,0.52
"FLOW-MR-indirect",1,1e-04,0.794,0,0.512,1.083,0.571
"FLOW-MR-indirect",1,1e-06,0.798,0,0.511,1.089,0.578
"FLOW-MR-indirect",1,1e-08,0.803,0,0.522,1.085,0.563
"MVMR-IVW",1,0.01,0.108,0.062,-0.013,0.23,0.243
"MVMR-IVW",1,1e-04,0.126,0.068,-0.008,0.26,0.268
"MVMR-IVW",1,1e-06,0.117,0.075,-0.03,0.265,0.295
"MVMR-IVW",1,1e-08,0.095,0.078,-0.057,0.247,0.304
"GRAPPLE",1,0.01,0.19,0.134,-0.073,0.453,0.526
"GRAPPLE",1,1e-04,0.633,0.434,-0.218,1.485,1.703
"GRAPPLE",1,1e-06,0.62,0.62,-0.594,1.835,2.429
"GRAPPLE",1,1e-08,0.247,0.232,-0.207,0.702,0.909
"MVMR-Egger",1,0.01,0.103,0.062,-0.018,0.225,0.243
"MVMR-Egger",1,1e-04,0.124,0.068,-0.009,0.256,0.265
"MVMR-Egger",1,1e-06,0.127,0.075,-0.02,0.274,0.294
"MVMR-Egger",1,1e-08,0.117,0.077,-0.033,0.268,0.301
"MVMR-Robust",1,0.01,0.084,0.052,-0.017,0.185,0.202
"MVMR-Robust",1,1e-04,0.093,0.057,-0.018,0.204,0.222
"MVMR-Robust",1,1e-06,0.088,0.06,-0.029,0.205,0.234
"MVMR-Robust",1,1e-08,0.069,0.062,-0.054,0.191,0.245
"MVMR-cML",1,0.01,0.179,0.071,0.04,0.319,0.279
"MVMR-cML",1,1e-04,0.169,0.087,-0.001,0.338,0.339
"MVMR-cML",1,1e-06,-0.172,0.099,-0.365,0.022,0.387
"MVMR-cML",1,1e-08,-0.217,0.113,-0.438,0.003,0.441
"FLOW-MR",1,0.01,0.187,0.112,-0.028,0.418,0.446
"FLOW-MR",1,1e-04,0.21,0.124,-0.021,0.465,0.486
"FLOW-MR",1,1e-06,0.197,0.13,-0.048,0.463,0.511
"FLOW-MR",1,1e-08,0.161,0.132,-0.095,0.421,0.516
"MVMR-Horse",1,0.01,0.149,0.087,-0.027,0.32,0.347
"MVMR-Horse",1,1e-04,0.161,0.095,-0.026,0.354,0.38
"MVMR-Horse",1,1e-06,0.143,0.099,-0.051,0.342,0.393
"MVMR-Horse",1,1e-08,0.114,0.101,-0.083,0.32,0.403
"FLOW-MR-indirect",1,0.01,0.726,0,0.448,1.009,0.561
"FLOW-MR-indirect",1,1e-04,0.721,0,0.437,1.029,0.592
"FLOW-MR-indirect",1,1e-06,0.741,0,0.434,1.05,0.616
"FLOW-MR-indirect",1,1e-08,0.776,0,0.47,1.105,0.635
"MVMR-IVW",1,0.01,0.038,0.066,-0.091,0.168,0.259
"MVMR-IVW",1,1e-04,0.021,0.073,-0.121,0.164,0.285
"MVMR-IVW",1,1e-06,0.036,0.075,-0.112,0.183,0.295
"MVMR-IVW",1,1e-08,0.002,0.076,-0.146,0.15,0.296
"GRAPPLE",1,0.01,0.062,0.122,-0.177,0.301,0.478
"GRAPPLE",1,1e-04,0.032,0.135,-0.232,0.297,0.529
"GRAPPLE",1,1e-06,0.071,0.129,-0.182,0.325,0.507
"GRAPPLE",1,1e-08,0.006,0.137,-0.261,0.274,0.535
"MVMR-Egger",1,0.01,0.032,0.066,-0.097,0.16,0.257
"MVMR-Egger",1,1e-04,0.018,0.073,-0.124,0.16,0.284
"MVMR-Egger",1,1e-06,0.033,0.075,-0.114,0.18,0.294
"MVMR-Egger",1,1e-08,0.004,0.075,-0.143,0.152,0.295
"MVMR-Robust",1,0.01,0.02,0.069,-0.115,0.156,0.271
"MVMR-Robust",1,1e-04,-0.01,0.069,-0.144,0.125,0.269
"MVMR-Robust",1,1e-06,0.01,0.074,-0.135,0.154,0.289
"MVMR-Robust",1,1e-08,-0.03,0.076,-0.179,0.119,0.298
"MVMR-cML",1,0.01,0.376,0.115,0.15,0.602,0.452
"MVMR-cML",1,1e-04,0.019,0.101,-0.179,0.217,0.396
"MVMR-cML",1,1e-06,0.123,0.106,-0.084,0.33,0.414
