"Method","Trait","pval","estimate","se","lower","upper","length"
"MVMR-IVW",1,1e-08,0.084,0.094,-0.101,0.268,0.369
"GRAPPLE",1,0.01,5.281,10.157,-14.626,25.188,39.814
"GRAPPLE",1,1e-04,0.827,0.594,-0.338,1.992,2.33
"GRAPPLE",1,1e-06,0.685,0.575,-0.442,1.812,2.254
"GRAPPLE",1,1e-08,0.711,0.837,-0.93,2.352,3.282
"MVMR-Egger",1,0.01,0.098,0.062,-0.023,0.219,0.242
"MVMR-Egger",1,1e-04,0.112,0.073,-0.03,0.254,0.284
"MVMR-Egger",1,1e-06,0.112,0.081,-0.047,0.27,0.317
"MVMR-Egger",1,1e-08,0.081,0.094,-0.104,0.266,0.37
"MVMR-Robust",1,0.01,0.083,0.059,-0.032,0.198,0.23
"MVMR-Robust",1,1e-04,0.102,0.067,-0.029,0.233,0.262
"MVMR-Robust",1,1e-06,0.094,0.077,-0.058,0.245,0.303
"MVMR-Robust",1,1e-08,0.057,0.094,-0.126,0.24,0.366
"MVMR-cML",1,0.01,0.884,0.21,0.472,1.296,0.824
"MVMR-cML",1,1e-04,1.12,0.243,0.643,1.596,0.953
"MVMR-cML",1,1e-06,1.08,0.258,0.575,1.585,1.01
"MVMR-cML",1,1e-08,0.864,0.277,0.322,1.407,1.085
"FLOW-MR",1,0.01,0.45,0.247,-0.023,0.954,0.977
"FLOW-MR",1,1e-04,0.416,0.242,-0.043,0.909,0.952
"FLOW-MR",1,1e-06,0.347,0.227,-0.094,0.803,0.897
"FLOW-MR",1,1e-08,0.329,0.241,-0.149,0.801,0.95
"MVMR-Horse",1,0.01,0.219,0.109,0.004,0.427,0.423
"MVMR-Horse",1,1e-04,0.248,0.11,0.027,0.458,0.431
"MVMR-Horse",1,1e-06,0.205,0.108,-0.008,0.417,0.425
"MVMR-Horse",1,1e-08,0.144,0.129,-0.117,0.393,0.51
"FLOW-MR-indirect",1,0.01,0.622,0,0.193,1.045,0.852
"FLOW-MR-indirect",1,1e-04,0.639,0,0.21,1.059,0.849
"FLOW-MR-indirect",1,1e-06,0.671,0,0.281,1.078,0.797
"FLOW-MR-indirect",1,1e-08,0.676,0,0.267,1.124,0.857
"MVMR-IVW",1,0.01,-0.005,0.064,-0.13,0.12,0.25
"MVMR-IVW",1,1e-04,0.015,0.073,-0.129,0.158,0.287
"MVMR-IVW",1,1e-06,-0.015,0.08,-0.172,0.143,0.315
"MVMR-IVW",1,1e-08,-0.036,0.094,-0.219,0.147,0.366
"GRAPPLE",1,0.01,-0.003,0.336,-0.662,0.655,1.317
"GRAPPLE",1,1e-04,0.084,0.243,-0.393,0.56,0.953
"GRAPPLE",1,1e-06,-0.012,0.217,-0.438,0.413,0.851
"GRAPPLE",1,1e-08,-0.089,0.27,-0.618,0.439,1.057
"MVMR-Egger",1,0.01,-0.006,0.064,-0.132,0.12,0.252
"MVMR-Egger",1,1e-04,0.02,0.074,-0.125,0.165,0.29
"MVMR-Egger",1,1e-06,-0.01,0.081,-0.168,0.148,0.316
"MVMR-Egger",1,1e-08,-0.034,0.094,-0.218,0.149,0.367
"MVMR-Robust",1,0.01,0.017,0.046,-0.073,0.107,0.18
"MVMR-Robust",1,1e-04,0.038,0.052,-0.063,0.139,0.202
"MVMR-Robust",1,1e-06,0.014,0.052,-0.088,0.117,0.205
"MVMR-Robust",1,1e-08,-0.007,0.059,-0.123,0.108,0.231
"MVMR-cML",1,0.01,-0.632,0.188,-1.001,-0.264,0.737
"MVMR-cML",1,1e-04,-0.334,0.175,-0.676,0.008,0.684
"MVMR-cML",1,1e-06,-0.275,0.174,-0.616,0.067,0.683
"MVMR-cML",1,1e-08,-0.458,0.206,-0.862,-0.054,0.808
"FLOW-MR",1,0.01,0.088,0.179,-0.244,0.457,0.701
"FLOW-MR",1,1e-04,0.113,0.185,-0.243,0.489,0.732
"FLOW-MR",1,1e-06,0.079,0.185,-0.291,0.446,0.737
"FLOW-MR",1,1e-08,0.079,0.205,-0.313,0.504,0.817
"MVMR-Horse",1,0.01,0.027,0.092,-0.151,0.205,0.356
"MVMR-Horse",1,1e-04,0.05,0.094,-0.131,0.235,0.366
"MVMR-Horse",1,1e-06,0.009,0.089,-0.166,0.181,0.347
"MVMR-Horse",1,1e-08,-0.014,0.097,-0.202,0.186,0.388
"FLOW-MR-indirect",1,0.01,0.821,0,0.513,1.135,0.622
"FLOW-MR-indirect",1,1e-04,0.811,0,0.496,1.164,0.668
"FLOW-MR-indirect",1,1e-06,0.819,0,0.517,1.167,0.65
"FLOW-MR-indirect",1,1e-08,0.816,0,0.462,1.203,0.741
"MVMR-IVW",1,0.01,0.129,0.061,0.011,0.248,0.237
"MVMR-IVW",1,1e-04,0.185,0.074,0.04,0.33,0.29
"MVMR-IVW",1,1e-06,0.197,0.08,0.041,0.354,0.313
"MVMR-IVW",1,1e-08,0.237,0.09,0.061,0.412,0.351
"GRAPPLE",1,0.01,0.436,0.247,-0.048,0.92,0.968
"GRAPPLE",1,1e-04,0.684,0.302,0.092,1.277,1.185
"GRAPPLE",1,1e-06,0.542,0.242,0.067,1.017,0.95
"GRAPPLE",1,1e-08,0.619,0.247,0.134,1.104,0.97
"MVMR-Egger",1,0.01,0.128,0.061,0.009,0.247,0.238
"MVMR-Egger",1,1e-04,0.184,0.075,0.037,0.33,0.293
"MVMR-Egger",1,1e-06,0.195,0.081,0.037,0.354,0.317
"MVMR-Egger",1,1e-08,0.227,0.091,0.049,0.406,0.357
"MVMR-Robust",1,0.01,0.093,0.055,-0.016,0.201,0.217
"MVMR-Robust",1,1e-04,0.147,0.07,0.01,0.283,0.273
"MVMR-Robust",1,1e-06,0.152,0.072,0.011,0.294,0.283
"MVMR-Robust",1,1e-08,0.196,0.079,0.04,0.351,0.311
"MVMR-cML",1,0.01,0.935,0.202,0.538,1.331,0.793
"MVMR-cML",1,1e-04,0.989,0.208,0.582,1.397,0.815
"MVMR-cML",1,1e-06,1.224,0.263,0.707,1.74,1.033
"MVMR-cML",1,1e-08,1.322,0.313,0.709,1.936,1.227
"FLOW-MR",1,0.01,0.424,0.2,0.055,0.84,0.785
"FLOW-MR",1,1e-04,0.495,0.217,0.086,0.944,0.858
"FLOW-MR",1,1e-06,0.473,0.206,0.097,0.91,0.813
"FLOW-MR",1,1e-08,0.518,0.218,0.11,0.955,0.845
"MVMR-Horse",1,0.01,0.166,0.113,-0.06,0.392,0.452
"MVMR-Horse",1,1e-04,0.27,0.129,0.019,0.53,0.511
"MVMR-Horse",1,1e-06,0.253,0.119,0.015,0.494,0.479
"MVMR-Horse",1,1e-08,0.319,0.121,0.08,0.559,0.479
"FLOW-MR-indirect",1,0.01,0.606,0,0.268,0.927,0.659
"FLOW-MR-indirect",1,1e-04,0.532,0,0.182,0.886,0.704
"FLOW-MR-indirect",1,1e-06,0.549,0,0.21,0.876,0.666
"FLOW-MR-indirect",1,1e-08,0.524,0,0.171,0.887,0.716
"MVMR-IVW",1,0.01,0.029,0.053,-0.075,0.133,0.208
"MVMR-IVW",1,1e-04,0.061,0.062,-0.061,0.182,0.243
"MVMR-IVW",1,1e-06,0.078,0.068,-0.055,0.21,0.265
"MVMR-IVW",1,1e-08,0.102,0.076,-0.048,0.252,0.3
"GRAPPLE",1,0.01,-0.074,0.169,-0.405,0.258,0.663
"GRAPPLE",1,1e-04,0.027,0.188,-0.34,0.395,0.735
"GRAPPLE",1,1e-06,0.041,0.181,-0.314,0.396,0.71
"GRAPPLE",1,1e-08,0.145,0.211,-0.268,0.558,0.826
"MVMR-Egger",1,0.01,0.029,0.053,-0.075,0.133,0.208
"MVMR-Egger",1,1e-04,0.061,0.062,-0.061,0.183,0.244
"MVMR-Egger",1,1e-06,0.079,0.068,-0.054,0.212,0.266
"MVMR-Egger",1,1e-08,0.104,0.077,-0.047,0.255,0.302
"MVMR-Robust",1,0.01,-0.02,0.052,-0.123,0.083,0.206
"MVMR-Robust",1,1e-04,0.015,0.066,-0.115,0.144,0.259
"MVMR-Robust",1,1e-06,0.018,0.07,-0.119,0.156,0.275
"MVMR-Robust",1,1e-08,0.046,0.082,-0.116,0.207,0.323
"MVMR-cML",1,0.01,-0.894,0.195,-1.275,-0.512,0.763
"MVMR-cML",1,1e-04,-0.829,0.215,-1.25,-0.407,0.843
"MVMR-cML",1,1e-06,-0.734,0.203,-1.132,-0.337,0.795
"MVMR-cML",1,1e-08,-0.721,0.215,-1.143,-0.299,0.844
"FLOW-MR",1,0.01,0.054,0.149,-0.23,0.355,0.585
"FLOW-MR",1,1e-04,0.143,0.171,-0.185,0.495,0.68
"FLOW-MR",1,1e-06,0.154,0.159,-0.152,0.479,0.631
"FLOW-MR",1,1e-08,0.207,0.168,-0.109,0.56,0.669
"MVMR-Horse",1,0.01,-0.017,0.085,-0.186,0.15,0.336
"MVMR-Horse",1,1e-04,0.04,0.101,-0.159,0.234,0.393
"MVMR-Horse",1,1e-06,0.05,0.099,-0.142,0.245,0.387
"MVMR-Horse",1,1e-08,0.078,0.11,-0.134,0.301,0.435
"FLOW-MR-indirect",1,0.01,0.966,0,0.71,1.258,0.548
"FLOW-MR-indirect",1,1e-04,0.934,0,0.653,1.257,0.604
"FLOW-MR-indirect",1,1e-06,0.884,0,0.611,1.202,0.591
"FLOW-MR-indirect",1,1e-08,0.858,0,0.569,1.169,0.6
"MVMR-IVW",1,0.01,0.052,0.059,-0.063,0.167,0.23
"MVMR-IVW",1,1e-04,0.087,0.071,-0.051,0.226,0.277
"MVMR-IVW",1,1e-06,0.09,0.08,-0.066,0.246,0.312
"MVMR-IVW",1,1e-08,0.126,0.088,-0.047,0.299,0.346
"GRAPPLE",1,0.01,0.086,0.201,-0.309,0.481,0.79
"GRAPPLE",1,1e-04,0.209,0.196,-0.175,0.593,0.768
"GRAPPLE",1,1e-06,0.186,0.224,-0.254,0.625,0.879
"GRAPPLE",1,1e-08,0.269,0.218,-0.158,0.696,0.854
"MVMR-Egger",1,0.01,0.051,0.058,-0.064,0.165,0.229
"MVMR-Egger",1,1e-04,0.085,0.07,-0.053,0.223,0.276
"MVMR-Egger",1,1e-06,0.095,0.079,-0.06,0.25,0.31
"MVMR-Egger",1,1e-08,0.134,0.087,-0.036,0.305,0.341
"MVMR-Robust",1,0.01,0.025,0.05,-0.073,0.123,0.196
"MVMR-Robust",1,1e-04,0.063,0.06,-0.054,0.18,0.234
"MVMR-Robust",1,1e-06,0.063,0.065,-0.064,0.189,0.253
"MVMR-Robust",1,1e-08,0.102,0.07,-0.036,0.24,0.276
"MVMR-cML",1,0.01,0.225,0.113,0.004,0.445,0.441
"MVMR-cML",1,1e-04,0.782,0.188,0.413,1.152,0.739
"MVMR-cML",1,1e-06,0.762,0.194,0.382,1.141,0.759
"MVMR-cML",1,1e-08,0.844,0.217,0.419,1.27,0.851
"FLOW-MR",1,0.01,0.103,0.152,-0.186,0.411,0.597
"FLOW-MR",1,1e-04,0.213,0.169,-0.104,0.565,0.669
"FLOW-MR",1,1e-06,0.249,0.19,-0.101,0.63,0.731
"FLOW-MR",1,1e-08,0.317,0.194,-0.049,0.714,0.763
"MVMR-Horse",1,0.01,0.023,0.079,-0.133,0.18,0.313
"MVMR-Horse",1,1e-04,0.074,0.09,-0.104,0.255,0.359
"MVMR-Horse",1,1e-06,0.082,0.095,-0.103,0.277,0.38
"MVMR-Horse",1,1e-08,0.154,0.102,-0.043,0.36,0.403
"FLOW-MR-indirect",1,0.01,0.738,0,0.482,1.02,0.538
"FLOW-MR-indirect",1,1e-04,0.66,0,0.358,0.958,0.6
"FLOW-MR-indirect",1,1e-06,0.636,0,0.3,0.963,0.663
"FLOW-MR-indirect",1,1e-08,0.577,0,0.238,0.926,0.688
"MVMR-IVW",1,0.01,0.162,0.056,0.052,0.273,0.221
"MVMR-IVW",1,1e-04,0.155,0.067,0.023,0.287,0.264
"MVMR-IVW",1,1e-06,0.122,0.079,-0.031,0.276,0.307
"MVMR-IVW",1,1e-08,0.145,0.086,-0.025,0.314,0.339
"GRAPPLE",1,0.01,0.727,0.259,0.22,1.235,1.015
"GRAPPLE",1,1e-04,0.676,0.291,0.107,1.246,1.139
"GRAPPLE",1,1e-06,0.447,0.332,-0.204,1.097,1.301
"GRAPPLE",1,1e-08,0.382,0.286,-0.179,0.943,1.122
"MVMR-Egger",1,0.01,0.16,0.056,0.049,0.271,0.222
"MVMR-Egger",1,1e-04,0.155,0.067,0.023,0.287,0.264
"MVMR-Egger",1,1e-06,0.123,0.079,-0.032,0.278,0.31
"MVMR-Egger",1,1e-08,0.144,0.087,-0.028,0.315,0.343
"MVMR-Robust",1,0.01,0.173,0.052,0.072,0.274,0.202
"MVMR-Robust",1,1e-04,0.169,0.061,0.049,0.29,0.241
"MVMR-Robust",1,1e-06,0.128,0.075,-0.018,0.274,0.292
"MVMR-Robust",1,1e-08,0.145,0.075,-0.002,0.293,0.295
"MVMR-cML",1,0.01,1.167,0.222,0.732,1.602,0.87
"MVMR-cML",1,1e-04,1.138,0.254,0.639,1.637,0.998
"MVMR-cML",1,1e-06,1.115,0.288,0.55,1.679,1.129
"MVMR-cML",1,1e-08,1.03,0.258,0.526,1.535,1.009
"FLOW-MR",1,0.01,0.459,0.182,0.119,0.835,0.716
"FLOW-MR",1,1e-04,0.431,0.196,0.061,0.838,0.777
"FLOW-MR",1,1e-06,0.36,0.214,-0.052,0.799,0.851
"FLOW-MR",1,1e-08,0.389,0.221,-0.023,0.836,0.859
"MVMR-Horse",1,0.01,0.297,0.084,0.136,0.466,0.33
"MVMR-Horse",1,1e-04,0.268,0.096,0.088,0.464,0.376
"MVMR-Horse",1,1e-06,0.2,0.105,-0.008,0.404,0.412
"MVMR-Horse",1,1e-08,0.218,0.111,0.006,0.438,0.432
"FLOW-MR-indirect",1,0.01,0.513,0,0.199,0.812,0.613
"FLOW-MR-indirect",1,1e-04,0.557,0,0.214,0.895,0.681
"FLOW-MR-indirect",1,1e-06,0.632,0,0.263,1.007,0.744
"FLOW-MR-indirect",1,1e-08,0.613,0,0.238,0.989,0.751
"MVMR-IVW",1,0.01,0.057,0.061,-0.063,0.177,0.24
"MVMR-IVW",1,1e-04,0.042,0.072,-0.099,0.182,0.281
"MVMR-IVW",1,1e-06,0.044,0.082,-0.117,0.204,0.321
"MVMR-IVW",1,1e-08,0.037,0.093,-0.145,0.218,0.363
"GRAPPLE",1,0.01,0.194,0.272,-0.339,0.726,1.065
"GRAPPLE",1,1e-04,0.113,0.305,-0.485,0.711,1.196
"GRAPPLE",1,1e-06,0.118,0.333,-0.535,0.771,1.306
"GRAPPLE",1,1e-08,0.079,0.339,-0.586,0.744,1.33
"MVMR-Egger",1,0.01,0.059,0.062,-0.062,0.179,0.241
"MVMR-Egger",1,1e-04,0.043,0.072,-0.098,0.184,0.282
"MVMR-Egger",1,1e-06,0.051,0.082,-0.111,0.212,0.323
"MVMR-Egger",1,1e-08,0.042,0.093,-0.14,0.224,0.364
"MVMR-Robust",1,0.01,0.077,0.053,-0.027,0.181,0.208
"MVMR-Robust",1,1e-04,0.061,0.056,-0.048,0.17,0.218
"MVMR-Robust",1,1e-06,0.062,0.065,-0.066,0.189,0.255
"MVMR-Robust",1,1e-08,0.052,0.07,-0.085,0.189,0.274
"MVMR-cML",1,0.01,1.015,0.207,0.61,1.421,0.811
"MVMR-cML",1,1e-04,0.986,0.236,0.524,1.448,0.924
"MVMR-cML",1,1e-06,0.942,0.229,0.494,1.39,0.896
"MVMR-cML",1,1e-08,0.92,0.248,0.434,1.406,0.972
"FLOW-MR",1,0.01,0.33,0.188,-0.028,0.717,0.745
"FLOW-MR",1,1e-04,0.25,0.191,-0.113,0.65,0.763
"FLOW-MR",1,1e-06,0.26,0.205,-0.149,0.676,0.825
"FLOW-MR",1,1e-08,0.255,0.22,-0.166,0.709,0.875
"MVMR-Horse",1,0.01,0.174,0.089,0.004,0.352,0.348
"MVMR-Horse",1,1e-04,0.128,0.088,-0.045,0.308,0.353
"MVMR-Horse",1,1e-06,0.127,0.099,-0.061,0.322,0.383
"MVMR-Horse",1,1e-08,0.094,0.103,-0.112,0.294,0.406
"FLOW-MR-indirect",1,0.01,0.559,0,0.237,0.875,0.638
"FLOW-MR-indirect",1,1e-04,0.622,0,0.294,0.951,0.657
"FLOW-MR-indirect",1,1e-06,0.636,0,0.289,0.998,0.709
"FLOW-MR-indirect",1,1e-08,0.644,0,0.26,1.014,0.754
"MVMR-IVW",1,0.01,-0.096,0.06,-0.214,0.021,0.235
"MVMR-IVW",1,1e-04,-0.08,0.072,-0.22,0.061,0.281
"MVMR-IVW",1,1e-06,-0.085,0.08,-0.242,0.071,0.313
"MVMR-IVW",1,1e-08,-0.05,0.094,-0.233,0.134,0.367
"GRAPPLE",1,0.01,-0.887,0.408,-1.687,-0.087,1.6
"GRAPPLE",1,1e-04,-0.566,0.408,-1.366,0.233,1.599
"GRAPPLE",1,1e-06,-0.473,0.378,-1.215,0.269,1.484
"GRAPPLE",1,1e-08,-0.223,0.467,-1.138,0.692,1.83
"MVMR-Egger",1,0.01,-0.098,0.06,-0.216,0.02,0.236
"MVMR-Egger",1,1e-04,-0.079,0.072,-0.221,0.062,0.283
"MVMR-Egger",1,1e-06,-0.083,0.08,-0.24,0.074,0.314
"MVMR-Egger",1,1e-08,-0.045,0.093,-0.228,0.138,0.366
"MVMR-Robust",1,0.01,-0.097,0.056,-0.207,0.012,0.219
"MVMR-Robust",1,1e-04,-0.075,0.066,-0.205,0.055,0.26
"MVMR-Robust",1,1e-06,-0.076,0.075,-0.223,0.07,0.293
"MVMR-Robust",1,1e-08,-0.032,0.089,-0.207,0.143,0.35
"MVMR-cML",1,0.01,-1.15,0.231,-1.603,-0.698,0.905
"MVMR-cML",1,1e-04,-0.764,0.218,-1.192,-0.337,0.855
"MVMR-cML",1,1e-06,-0.485,0.239,-0.953,-0.016,0.937
"MVMR-cML",1,1e-08,0.648,0.226,0.205,1.091,0.886
"FLOW-MR",1,0.01,-0.11,0.206,-0.515,0.293,0.808
"FLOW-MR",1,1e-04,-0.024,0.223,-0.479,0.411,0.89
"FLOW-MR",1,1e-06,-0.021,0.217,-0.443,0.413,0.856
"FLOW-MR",1,1e-08,0.08,0.238,-0.371,0.566,0.937
"MVMR-Horse",1,0.01,-0.183,0.101,-0.383,0.013,0.396
"MVMR-Horse",1,1e-04,-0.13,0.105,-0.336,0.075,0.411
"MVMR-Horse",1,1e-06,-0.11,0.109,-0.337,0.102,0.439
"MVMR-Horse",1,1e-08,-0.012,0.127,-0.272,0.231,0.503
"FLOW-MR-indirect",1,0.01,1.029,0,0.677,1.437,0.76
"FLOW-MR-indirect",1,1e-04,0.978,0,0.603,1.401,0.798
"FLOW-MR-indirect",1,1e-06,0.982,0,0.6,1.398,0.798
"FLOW-MR-indirect",1,1e-08,0.894,0,0.484,1.333,0.849
"MVMR-IVW",1,0.01,0.1,0.056,-0.01,0.209,0.219
"MVMR-IVW",1,1e-04,0.135,0.066,0.005,0.264,0.259
"MVMR-IVW",1,1e-06,0.119,0.074,-0.026,0.265,0.291
"MVMR-IVW",1,1e-08,0.088,0.083,-0.075,0.25,0.325
"GRAPPLE",1,0.01,0.26,0.196,-0.125,0.645,0.77
"GRAPPLE",1,1e-04,0.339,0.181,-0.015,0.693,0.708
"GRAPPLE",1,1e-06,0.262,0.19,-0.111,0.634,0.745
"GRAPPLE",1,1e-08,0.187,0.201,-0.206,0.58,0.786
"MVMR-Egger",1,0.01,0.1,0.056,-0.009,0.21,0.219
"MVMR-Egger",1,1e-04,0.135,0.066,0.005,0.265,0.26
"MVMR-Egger",1,1e-06,0.118,0.074,-0.027,0.263,0.29
"MVMR-Egger",1,1e-08,0.083,0.082,-0.078,0.244,0.322
"MVMR-Robust",1,0.01,0.104,0.047,0.012,0.197,0.185
"MVMR-Robust",1,1e-04,0.147,0.056,0.037,0.257,0.22
"MVMR-Robust",1,1e-06,0.125,0.063,0.001,0.25,0.249
"MVMR-Robust",1,1e-08,0.095,0.071,-0.043,0.234,0.277
"MVMR-cML",1,0.01,1.062,0.222,0.627,1.497,0.87
"MVMR-cML",1,1e-04,1.181,0.249,0.693,1.669,0.976
"MVMR-cML",1,1e-06,1.195,0.289,0.629,1.761,1.132
"MVMR-cML",1,1e-08,0.832,0.212,0.418,1.247,0.829
