"Method","Trait","pval","estimate","se","lower","upper","length"
"GRAPPLE","1","0.01",0.331,0.441,-0.534,1.196,1.73
"GRAPPLE","1","1e-04",0.555,0.407,-0.244,1.353,1.597
"GRAPPLE","1","1e-06",0.449,0.353,-0.242,1.14,1.382
"GRAPPLE","1","1e-08",0.456,0.27,-0.074,0.986,1.06
"MVMR-Egger","1","0.01",0.046,0.059,-0.069,0.16,0.229
"MVMR-Egger","1","1e-04",0.08,0.065,-0.048,0.209,0.257
"MVMR-Egger","1","1e-06",0.067,0.072,-0.074,0.207,0.281
"MVMR-Egger","1","1e-08",0.112,0.078,-0.041,0.265,0.306
"MVMR-Robust","1","0.01",0.057,0.059,-0.059,0.173,0.232
"MVMR-Robust","1","1e-04",0.09,0.07,-0.048,0.228,0.276
"MVMR-Robust","1","1e-06",0.092,0.073,-0.051,0.234,0.285
"MVMR-Robust","1","1e-08",0.146,0.074,0.002,0.291,0.289
"MVMR-cML","1","0.01",1.086,0.23,0.635,1.536,0.901
"MVMR-cML","1","1e-04",1.156,0.255,0.656,1.656,1
"MVMR-cML","1","1e-06",1.077,0.256,0.575,1.579,1.004
"MVMR-cML","1","1e-08",1.125,0.288,0.559,1.69,1.131
"FLOW-MR","1","0.01",0.311,0.241,-0.152,0.803,0.955
"FLOW-MR","1","1e-04",0.329,0.247,-0.157,0.828,0.985
"FLOW-MR","1","1e-06",0.25,0.223,-0.18,0.705,0.885
"FLOW-MR","1","1e-08",0.33,0.23,-0.121,0.786,0.907
"MVMR-Horse","1","0.01",0.139,0.118,-0.092,0.379,0.471
"MVMR-Horse","1","1e-04",0.186,0.129,-0.055,0.442,0.497
"MVMR-Horse","1","1e-06",0.192,0.118,-0.036,0.431,0.467
"MVMR-Horse","1","1e-08",0.244,0.114,0.021,0.476,0.455
"FLOW-MR-indirect","1","0.01",0.779,0,0.393,1.22,0.827
"FLOW-MR-indirect","1","1e-04",0.79,0,0.363,1.236,0.873
"FLOW-MR-indirect","1","1e-06",0.825,0,0.45,1.211,0.761
"FLOW-MR-indirect","1","1e-08",0.77,0,0.384,1.208,0.824
"MVMR-IVW","1","0.01",0.043,0.058,-0.072,0.157,0.229
"MVMR-IVW","1","1e-04",0.057,0.067,-0.074,0.189,0.263
"MVMR-IVW","1","1e-06",0.031,0.075,-0.115,0.178,0.293
"MVMR-IVW","1","1e-08",0.064,0.084,-0.1,0.229,0.329
"GRAPPLE","1","0.01",0.177,0.368,-0.544,0.898,1.442
"GRAPPLE","1","1e-04",3.727,8.004,-11.961,19.415,31.376
"GRAPPLE","1","1e-06",0.044,0.528,-0.99,1.078,2.068
"GRAPPLE","1","1e-08",2.214,3.365,-4.381,8.808,13.189
"MVMR-Egger","1","0.01",0.045,0.059,-0.07,0.161,0.231
"MVMR-Egger","1","1e-04",0.057,0.068,-0.077,0.19,0.267
"MVMR-Egger","1","1e-06",0.04,0.076,-0.109,0.189,0.298
"MVMR-Egger","1","1e-08",0.071,0.085,-0.096,0.238,0.334
"MVMR-Robust","1","0.01",0.055,0.054,-0.051,0.16,0.211
"MVMR-Robust","1","1e-04",0.066,0.064,-0.06,0.191,0.251
"MVMR-Robust","1","1e-06",0.041,0.075,-0.106,0.188,0.294
"MVMR-Robust","1","1e-08",0.082,0.088,-0.091,0.254,0.345
"MVMR-cML","1","0.01",0.884,0.217,0.459,1.31,0.851
"MVMR-cML","1","1e-04",0.806,0.239,0.338,1.274,0.936
"MVMR-cML","1","1e-06",0.696,0.23,0.245,1.146,0.901
"MVMR-cML","1","1e-08",0.877,0.295,0.299,1.454,1.155
"FLOW-MR","1","0.01",0.324,0.25,-0.137,0.867,1.004
"FLOW-MR","1","1e-04",0.362,0.265,-0.139,0.912,1.051
"FLOW-MR","1","1e-06",0.261,0.266,-0.256,0.801,1.057
"FLOW-MR","1","1e-08",0.314,0.268,-0.208,0.865,1.073
"MVMR-Horse","1","0.01",0.155,0.114,-0.066,0.369,0.435
"MVMR-Horse","1","1e-04",0.189,0.125,-0.05,0.433,0.483
"MVMR-Horse","1","1e-06",0.151,0.136,-0.125,0.409,0.534
"MVMR-Horse","1","1e-08",0.161,0.136,-0.119,0.421,0.54
"FLOW-MR-indirect","1","0.01",0.773,0,0.317,1.205,0.888
"FLOW-MR-indirect","1","1e-04",0.756,0,0.284,1.235,0.951
"FLOW-MR-indirect","1","1e-06",0.819,0,0.355,1.297,0.942
"FLOW-MR-indirect","1","1e-08",0.813,0,0.326,1.328,1.002
"MVMR-IVW","1","0.01",0.021,0.058,-0.092,0.134,0.226
"MVMR-IVW","1","1e-04",0.042,0.064,-0.084,0.167,0.251
"MVMR-IVW","1","1e-06",0.031,0.07,-0.106,0.167,0.273
"MVMR-IVW","1","1e-08",0.012,0.079,-0.144,0.168,0.312
"GRAPPLE","1","0.01",0.043,0.822,-1.569,1.655,3.224
"GRAPPLE","1","1e-04",0.252,0.528,-0.782,1.286,2.068
"GRAPPLE","1","1e-06",0.101,0.43,-0.742,0.943,1.685
"GRAPPLE","1","1e-08",-0.256,0.645,-1.52,1.008,2.528
"MVMR-Egger","1","0.01",0.022,0.058,-0.092,0.136,0.228
"MVMR-Egger","1","1e-04",0.043,0.065,-0.085,0.17,0.255
"MVMR-Egger","1","1e-06",0.033,0.07,-0.104,0.171,0.275
"MVMR-Egger","1","1e-08",0.021,0.08,-0.135,0.177,0.312
"MVMR-Robust","1","0.01",0.008,0.058,-0.106,0.122,0.228
"MVMR-Robust","1","1e-04",0.029,0.068,-0.105,0.163,0.268
"MVMR-Robust","1","1e-06",0.012,0.077,-0.14,0.163,0.303
"MVMR-Robust","1","1e-08",-0.007,0.088,-0.179,0.165,0.344
"MVMR-cML","1","0.01",0.907,0.213,0.489,1.326,0.837
"MVMR-cML","1","1e-04",0.765,0.197,0.379,1.151,0.772
"MVMR-cML","1","1e-06",-1.069,0.249,-1.557,-0.58,0.977
"MVMR-cML","1","1e-08",-0.939,0.223,-1.377,-0.502,0.875
"FLOW-MR","1","0.01",0.138,0.258,-0.35,0.676,1.026
"FLOW-MR","1","1e-04",0.153,0.244,-0.322,0.636,0.958
"FLOW-MR","1","1e-06",0.097,0.236,-0.366,0.58,0.946
"FLOW-MR","1","1e-08",0.111,0.266,-0.393,0.665,1.058
"MVMR-Horse","1","0.01",-0.112,0.143,-0.391,0.171,0.562
"MVMR-Horse","1","1e-04",-0.084,0.14,-0.347,0.187,0.534
"MVMR-Horse","1","1e-06",-0.132,0.147,-0.422,0.161,0.583
"MVMR-Horse","1","1e-08",-0.186,0.168,-0.487,0.158,0.645
"FLOW-MR-indirect","1","0.01",0.999,0,0.563,1.456,0.893
"FLOW-MR-indirect","1","1e-04",0.99,0,0.583,1.421,0.838
"FLOW-MR-indirect","1","1e-06",1.034,0,0.64,1.484,0.844
"FLOW-MR-indirect","1","1e-08",1.045,0,0.581,1.548,0.967
"MVMR-IVW","1","0.01",-0.01,0.068,-0.144,0.123,0.267
"MVMR-IVW","1","1e-04",-0.005,0.07,-0.143,0.133,0.276
"MVMR-IVW","1","1e-06",0.05,0.078,-0.103,0.203,0.306
"MVMR-IVW","1","1e-08",0.103,0.084,-0.062,0.268,0.33
"GRAPPLE","1","0.01",-11.251,84.518,-176.906,154.405,331.311
"GRAPPLE","1","1e-04",-1.154,2.003,-5.08,2.772,7.852
"GRAPPLE","1","1e-06",0.78,1.201,-1.573,3.133,4.706
"GRAPPLE","1","1e-08",5.121,10.27,-15.008,25.249,40.257
"MVMR-Egger","1","0.01",-0.019,0.068,-0.153,0.115,0.268
"MVMR-Egger","1","1e-04",-0.006,0.071,-0.146,0.133,0.279
"MVMR-Egger","1","1e-06",0.049,0.079,-0.107,0.204,0.311
"MVMR-Egger","1","1e-08",0.112,0.086,-0.057,0.281,0.338
"MVMR-Robust","1","0.01",0.011,0.07,-0.126,0.147,0.273
"MVMR-Robust","1","1e-04",0.008,0.073,-0.134,0.151,0.285
"MVMR-Robust","1","1e-06",0.064,0.085,-0.103,0.23,0.333
"MVMR-Robust","1","1e-08",0.117,0.087,-0.054,0.288,0.342
"MVMR-cML","1","0.01",1.057,0.219,0.627,1.486,0.859
"MVMR-cML","1","1e-04",0.918,0.225,0.478,1.358,0.88
"MVMR-cML","1","1e-06",1.079,0.262,0.565,1.592,1.027
"MVMR-cML","1","1e-08",1.166,0.309,0.56,1.772,1.212
"FLOW-MR","1","0.01",0.513,0.276,-0.046,1.056,1.102
"FLOW-MR","1","1e-04",0.313,0.267,-0.202,0.851,1.053
"FLOW-MR","1","1e-06",0.39,0.283,-0.174,0.949,1.123
"FLOW-MR","1","1e-08",0.396,0.271,-0.147,0.923,1.07
"MVMR-Horse","1","0.01",0.036,0.221,-0.39,0.472,0.862
"MVMR-Horse","1","1e-04",-0.016,0.172,-0.348,0.312,0.66
"MVMR-Horse","1","1e-06",0.184,0.174,-0.166,0.499,0.665
"MVMR-Horse","1","1e-08",0.238,0.152,-0.054,0.542,0.596
"FLOW-MR-indirect","1","0.01",0.712,0,0.266,1.232,0.966
"FLOW-MR-indirect","1","1e-04",0.842,0,0.397,1.322,0.925
"FLOW-MR-indirect","1","1e-06",0.817,0,0.352,1.344,0.992
"FLOW-MR-indirect","1","1e-08",0.864,0,0.399,1.395,0.996
"MVMR-IVW","1","0.01",0.092,0.066,-0.038,0.222,0.26
"MVMR-IVW","1","1e-04",0.167,0.074,0.022,0.313,0.291
"MVMR-IVW","1","1e-06",0.194,0.081,0.036,0.353,0.317
"MVMR-IVW","1","1e-08",0.182,0.089,0.008,0.356,0.348
"GRAPPLE","1","0.01",1.8,3.095,-4.266,7.865,12.131
"GRAPPLE","1","1e-04",4.345,4.468,-4.412,13.102,17.514
"GRAPPLE","1","1e-06",3.604,2.999,-2.273,9.482,11.755
"GRAPPLE","1","1e-08",3.858,3.735,-3.463,11.179,14.642
"MVMR-Egger","1","0.01",0.093,0.066,-0.037,0.223,0.26
"MVMR-Egger","1","1e-04",0.173,0.075,0.027,0.32,0.293
"MVMR-Egger","1","1e-06",0.205,0.081,0.046,0.364,0.318
"MVMR-Egger","1","1e-08",0.203,0.089,0.029,0.377,0.348
"MVMR-Robust","1","0.01",0.052,0.061,-0.068,0.172,0.24
"MVMR-Robust","1","1e-04",0.119,0.068,-0.013,0.252,0.265
"MVMR-Robust","1","1e-06",0.151,0.075,0.003,0.298,0.295
"MVMR-Robust","1","1e-08",0.132,0.085,-0.034,0.298,0.332
"MVMR-cML","1","0.01",-0.747,0.153,-1.047,-0.448,0.599
"MVMR-cML","1","1e-04",0.698,0.189,0.327,1.069,0.742
"MVMR-cML","1","1e-06",1.132,0.268,0.606,1.657,1.051
"MVMR-cML","1","1e-08",1.141,0.306,0.542,1.74,1.198
"FLOW-MR","1","0.01",0.577,0.376,-0.123,1.344,1.467
"FLOW-MR","1","1e-04",0.636,0.332,0.016,1.313,1.297
"FLOW-MR","1","1e-06",0.644,0.317,0.028,1.293,1.265
"FLOW-MR","1","1e-08",0.548,0.306,-0.028,1.186,1.214
"MVMR-Horse","1","0.01",-0.023,0.167,-0.333,0.313,0.646
"MVMR-Horse","1","1e-04",0.184,0.178,-0.145,0.563,0.708
"MVMR-Horse","1","1e-06",0.338,0.185,-0.028,0.702,0.73
"MVMR-Horse","1","1e-08",0.232,0.204,-0.151,0.655,0.806
"FLOW-MR-indirect","1","0.01",0.812,0,0.161,1.438,1.277
"FLOW-MR-indirect","1","1e-04",0.74,0,0.166,1.346,1.18
"FLOW-MR-indirect","1","1e-06",0.757,0,0.179,1.351,1.172
"FLOW-MR-indirect","1","1e-08",0.79,0,0.239,1.322,1.083
"MVMR-IVW","1","0.01",-0.015,0.059,-0.13,0.1,0.23
"MVMR-IVW","1","1e-04",-0.003,0.068,-0.136,0.129,0.265
"MVMR-IVW","1","1e-06",0.008,0.074,-0.137,0.153,0.29
"MVMR-IVW","1","1e-08",-0.011,0.081,-0.17,0.149,0.319
"GRAPPLE","1","0.01",-0.794,0.817,-2.396,0.808,3.204
"GRAPPLE","1","1e-04",-6.266,33.138,-71.218,58.685,129.903
"GRAPPLE","1","1e-06",-0.523,0.764,-2.021,0.975,2.996
"GRAPPLE","1","1e-08",-0.62,0.783,-2.155,0.916,3.071
"MVMR-Egger","1","0.01",-0.021,0.059,-0.135,0.094,0.229
"MVMR-Egger","1","1e-04",-0.01,0.068,-0.143,0.124,0.267
"MVMR-Egger","1","1e-06",0.007,0.075,-0.141,0.154,0.295
"MVMR-Egger","1","1e-08",-0.008,0.082,-0.17,0.153,0.323
"MVMR-Robust","1","0.01",-0.049,0.06,-0.166,0.068,0.234
"MVMR-Robust","1","1e-04",-0.046,0.067,-0.177,0.085,0.262
"MVMR-Robust","1","1e-06",-0.026,0.077,-0.177,0.125,0.302
"MVMR-Robust","1","1e-08",-0.037,0.086,-0.205,0.131,0.336
"MVMR-cML","1","0.01",0.747,0.191,0.373,1.121,0.748
"MVMR-cML","1","1e-04",0.767,0.21,0.355,1.18,0.825
"MVMR-cML","1","1e-06",0.992,0.256,0.49,1.494,1.004
"MVMR-cML","1","1e-08",1.047,0.286,0.486,1.608,1.122
"FLOW-MR","1","0.01",0.213,0.277,-0.328,0.772,1.1
"FLOW-MR","1","1e-04",0.224,0.288,-0.355,0.799,1.154
"FLOW-MR","1","1e-06",0.213,0.272,-0.327,0.758,1.085
"FLOW-MR","1","1e-08",0.219,0.291,-0.366,0.793,1.159
"MVMR-Horse","1","0.01",-0.129,0.148,-0.415,0.169,0.584
"MVMR-Horse","1","1e-04",-0.136,0.15,-0.418,0.18,0.598
"MVMR-Horse","1","1e-06",-0.095,0.153,-0.386,0.213,0.599
"MVMR-Horse","1","1e-08",-0.076,0.169,-0.403,0.263,0.666
"FLOW-MR-indirect","1","0.01",0.888,0,0.464,1.342,0.878
"FLOW-MR-indirect","1","1e-04",0.898,0,0.445,1.436,0.991
"FLOW-MR-indirect","1","1e-06",0.88,0,0.448,1.368,0.92
"FLOW-MR-indirect","1","1e-08",0.916,0,0.438,1.468,1.03
"MVMR-IVW","1","0.01",-0.009,0.059,-0.125,0.106,0.231
"MVMR-IVW","1","1e-04",0.007,0.064,-0.119,0.133,0.252
"MVMR-IVW","1","1e-06",0.047,0.073,-0.095,0.189,0.284
"MVMR-IVW","1","1e-08",-0.005,0.075,-0.152,0.142,0.294
"GRAPPLE","1","0.01",-0.297,0.592,-1.457,0.863,2.32
"GRAPPLE","1","1e-04",-0.043,0.496,-1.014,0.929,1.943
"GRAPPLE","1","1e-06",0.331,0.526,-0.7,1.361,2.061
"GRAPPLE","1","1e-08",-0.078,0.383,-0.828,0.673,1.501
"MVMR-Egger","1","0.01",-0.01,0.059,-0.126,0.105,0.231
"MVMR-Egger","1","1e-04",0.004,0.065,-0.123,0.131,0.254
"MVMR-Egger","1","1e-06",0.043,0.074,-0.101,0.187,0.288
"MVMR-Egger","1","1e-08",-0.008,0.076,-0.158,0.141,0.299
"MVMR-Robust","1","0.01",0,0.058,-0.115,0.114,0.229
"MVMR-Robust","1","1e-04",0.015,0.064,-0.11,0.14,0.25
"MVMR-Robust","1","1e-06",0.06,0.062,-0.062,0.182,0.244
"MVMR-Robust","1","1e-08",0.002,0.061,-0.117,0.121,0.238
"MVMR-cML","1","0.01",0.618,0.198,0.23,1.006,0.776
"MVMR-cML","1","1e-04",0.541,0.193,0.162,0.919,0.757
"MVMR-cML","1","1e-06",0.728,0.255,0.229,1.227,0.998
"MVMR-cML","1","1e-08",-0.167,0.212,-0.584,0.249,0.833
"FLOW-MR","1","0.01",0.121,0.271,-0.429,0.661,1.09
"FLOW-MR","1","1e-04",0.142,0.259,-0.356,0.681,1.037
"FLOW-MR","1","1e-06",0.218,0.253,-0.275,0.723,0.998
"FLOW-MR","1","1e-08",0.087,0.227,-0.361,0.532,0.893
"MVMR-Horse","1","0.01",-0.003,0.13,-0.263,0.246,0.509
"MVMR-Horse","1","1e-04",0.057,0.129,-0.203,0.32,0.523
"MVMR-Horse","1","1e-06",0.127,0.124,-0.123,0.377,0.5
"MVMR-Horse","1","1e-08",0.003,0.112,-0.206,0.229,0.435
"FLOW-MR-indirect","1","0.01",1.095,0,0.679,1.627,0.948
"FLOW-MR-indirect","1","1e-04",1.094,0,0.669,1.558,0.889
"FLOW-MR-indirect","1","1e-06",1.022,0,0.597,1.489,0.892
"FLOW-MR-indirect","1","1e-08",1.108,0,0.718,1.564,0.846
"MVMR-IVW","1","0.01",0.024,0.056,-0.086,0.135,0.221
"MVMR-IVW","1","1e-04",0.051,0.066,-0.078,0.18,0.258
"MVMR-IVW","1","1e-06",0.017,0.073,-0.125,0.16,0.285
"MVMR-IVW","1","1e-08",-0.003,0.085,-0.17,0.164,0.334
"GRAPPLE","1","0.01",0.316,0.237,-0.148,0.78,0.928
"GRAPPLE","1","1e-04",0.698,0.407,-0.1,1.496,1.596
"GRAPPLE","1","1e-06",0.413,0.368,-0.31,1.135,1.445
"GRAPPLE","1","1e-08",0.583,0.767,-0.92,2.086,3.006
"MVMR-Egger","1","0.01",0.008,0.057,-0.104,0.121,0.225
"MVMR-Egger","1","1e-04",0.039,0.067,-0.093,0.17,0.263
"MVMR-Egger","1","1e-06",0.015,0.073,-0.129,0.159,0.288
"MVMR-Egger","1","1e-08",0.004,0.087,-0.167,0.175,0.342
"MVMR-Robust","1","0.01",0.086,0.06,-0.033,0.204,0.237
"MVMR-Robust","1","1e-04",0.133,0.064,0.008,0.257,0.249
"MVMR-Robust","1","1e-06",0.076,0.065,-0.052,0.204,0.256
"MVMR-Robust","1","1e-08",0.057,0.073,-0.087,0.2,0.287
"MVMR-cML","1","0.01",0.936,0.21,0.525,1.347,0.822
"MVMR-cML","1","1e-04",1.066,0.244,0.589,1.544,0.955
"MVMR-cML","1","1e-06",0.829,0.231,0.375,1.282,0.907
"MVMR-cML","1","1e-08",0.794,0.258,0.288,1.299,1.011
"FLOW-MR","1","0.01",0.15,0.193,-0.232,0.542,0.774
"FLOW-MR","1","1e-04",0.237,0.233,-0.212,0.728,0.94
"FLOW-MR","1","1e-06",0.135,0.232,-0.31,0.606,0.916
"FLOW-MR","1","1e-08",0.138,0.24,-0.347,0.611,0.958
"MVMR-Horse","1","0.01",0.088,0.1,-0.111,0.281,0.392
"MVMR-Horse","1","1e-04",0.138,0.101,-0.06,0.336,0.396
"MVMR-Horse","1","1e-06",0.045,0.105,-0.165,0.249,0.414
"MVMR-Horse","1","1e-08",0.022,0.116,-0.212,0.251,0.463
"FLOW-MR-indirect","1","0.01",0.829,0,0.525,1.195,0.67
"FLOW-MR-indirect","1","1e-04",0.832,0,0.431,1.248,0.817
"FLOW-MR-indirect","1","1e-06",0.922,0,0.51,1.367,0.857
"FLOW-MR-indirect","1","1e-08",0.904,0,0.489,1.377,0.888
"MVMR-IVW","1","0.01",0.046,0.055,-0.062,0.153,0.215
"MVMR-IVW","1","1e-04",0.066,0.062,-0.055,0.186,0.241
"MVMR-IVW","1","1e-06",0.104,0.067,-0.026,0.235,0.261
"MVMR-IVW","1","1e-08",0.136,0.073,-0.006,0.278,0.284
"GRAPPLE","1","0.01",0.237,0.188,-0.131,0.605,0.736
"GRAPPLE","1","1e-04",0.314,0.194,-0.066,0.694,0.76
"GRAPPLE","1","1e-06",0.386,0.218,-0.041,0.813,0.854
"GRAPPLE","1","1e-08",0.453,0.234,-0.006,0.912,0.918
"MVMR-Egger","1","0.01",0.033,0.055,-0.075,0.14,0.215
"MVMR-Egger","1","1e-04",0.049,0.062,-0.073,0.171,0.244
"MVMR-Egger","1","1e-06",0.093,0.067,-0.039,0.225,0.264
"MVMR-Egger","1","1e-08",0.132,0.074,-0.013,0.276,0.289
"MVMR-Robust","1","0.01",0.071,0.061,-0.049,0.192,0.241
"MVMR-Robust","1","1e-04",0.113,0.07,-0.024,0.25,0.274
"MVMR-Robust","1","1e-06",0.14,0.072,0,0.281,0.281
"MVMR-Robust","1","1e-08",0.17,0.076,0.02,0.319,0.299
"MVMR-cML","1","0.01",0.898,0.201,0.505,1.291,0.786
"MVMR-cML","1","1e-04",1.013,0.216,0.589,1.437,0.848
"MVMR-cML","1","1e-06",1.153,0.293,0.579,1.728,1.149
"MVMR-cML","1","1e-08",1.122,0.271,0.592,1.653,1.061
"FLOW-MR","1","0.01",0.329,0.158,0.022,0.645,0.623
"FLOW-MR","1","1e-04",0.353,0.167,0.023,0.687,0.664
"FLOW-MR","1","1e-06",0.357,0.191,-0.002,0.752,0.754
"FLOW-MR","1","1e-08",0.359,0.182,0.01,0.73,0.72
"MVMR-Horse","1","0.01",0.093,0.097,-0.097,0.286,0.383
"MVMR-Horse","1","1e-04",0.165,0.098,-0.033,0.356,0.389
"MVMR-Horse","1","1e-06",0.225,0.102,0.018,0.422,0.404
"MVMR-Horse","1","1e-08",0.282,0.108,0.079,0.493,0.414
"FLOW-MR-indirect","1","0.01",0.642,0,0.401,0.903,0.502
"FLOW-MR-indirect","1","1e-04",0.635,0,0.37,0.927,0.557
"FLOW-MR-indirect","1","1e-06",0.658,0,0.33,0.997,0.667
"FLOW-MR-indirect","1","1e-08",0.635,0,0.334,0.981,0.647
"MVMR-IVW","1","0.01",0.047,0.059,-0.069,0.163,0.232
"MVMR-IVW","1","1e-04",0.053,0.065,-0.074,0.179,0.253
"MVMR-IVW","1","1e-06",0.061,0.076,-0.088,0.209,0.297
"MVMR-IVW","1","1e-08",0.073,0.081,-0.086,0.231,0.317
"GRAPPLE","1","0.01",0.318,0.558,-0.775,1.411,2.186
"GRAPPLE","1","1e-04",0.177,0.532,-0.867,1.22,2.087
"GRAPPLE","1","1e-06",0.252,0.674,-1.068,1.573,2.641
"GRAPPLE","1","1e-08",0.207,0.412,-0.601,1.015,1.616
"MVMR-Egger","1","0.01",0.042,0.06,-0.075,0.158,0.233
"MVMR-Egger","1","1e-04",0.046,0.065,-0.082,0.174,0.256
"MVMR-Egger","1","1e-06",0.054,0.077,-0.098,0.205,0.303
"MVMR-Egger","1","1e-08",0.067,0.082,-0.094,0.229,0.323
"MVMR-Robust","1","0.01",0.038,0.058,-0.075,0.152,0.227
"MVMR-Robust","1","1e-04",0.044,0.061,-0.076,0.164,0.24
"MVMR-Robust","1","1e-06",0.053,0.071,-0.087,0.193,0.28
"MVMR-Robust","1","1e-08",0.063,0.074,-0.083,0.209,0.292
"MVMR-cML","1","0.01",2.396,0.695,1.034,3.758,2.724
"MVMR-cML","1","1e-04",0.893,0.249,0.405,1.382,0.977
"MVMR-cML","1","1e-06",1.048,0.273,0.513,1.582,1.069
"MVMR-cML","1","1e-08",1.077,0.307,0.476,1.678,1.202
"FLOW-MR","1","0.01",0.377,0.277,-0.169,0.923,1.092
"FLOW-MR","1","1e-04",0.284,0.242,-0.174,0.782,0.956
"FLOW-MR","1","1e-06",0.307,0.245,-0.168,0.803,0.971
"FLOW-MR","1","1e-08",0.279,0.248,-0.19,0.789,0.979
"MVMR-Horse","1","0.01",0.054,0.134,-0.215,0.321,0.536
"MVMR-Horse","1","1e-04",0.067,0.116,-0.17,0.288,0.458
"MVMR-Horse","1","1e-06",0.126,0.134,-0.134,0.386,0.52
"MVMR-Horse","1","1e-08",0.127,0.128,-0.129,0.381,0.51
"FLOW-MR-indirect","1","0.01",0.754,0,0.293,1.244,0.951
"FLOW-MR-indirect","1","1e-04",0.809,0,0.411,1.241,0.83
"FLOW-MR-indirect","1","1e-06",0.793,0,0.371,1.232,0.861
"FLOW-MR-indirect","1","1e-08",0.81,0,0.376,1.239,0.863
"MVMR-IVW","1","0.01",0.12,0.057,0.008,0.232,0.224
"MVMR-IVW","1","1e-04",0.136,0.064,0.01,0.262,0.252
"MVMR-IVW","1","1e-06",0.134,0.073,-0.008,0.277,0.285
"MVMR-IVW","1","1e-08",0.162,0.082,0.002,0.322,0.32
"GRAPPLE","1","0.01",1.744,0.983,-0.182,3.67,3.852
"GRAPPLE","1","1e-04",2.216,1.526,-0.775,5.207,5.982
"GRAPPLE","1","1e-06",1.896,1.407,-0.862,4.655,5.517
"GRAPPLE","1","1e-08",3.103,2.679,-2.148,8.354,10.502
"MVMR-Egger","1","0.01",0.116,0.058,0.002,0.23,0.228
"MVMR-Egger","1","1e-04",0.138,0.065,0.011,0.266,0.255
"MVMR-Egger","1","1e-06",0.143,0.074,-0.002,0.289,0.291
"MVMR-Egger","1","1e-08",0.179,0.083,0.016,0.343,0.327
"MVMR-Robust","1","0.01",0.109,0.059,-0.007,0.225,0.232
"MVMR-Robust","1","1e-04",0.103,0.067,-0.029,0.235,0.264
"MVMR-Robust","1","1e-06",0.1,0.08,-0.056,0.256,0.312
"MVMR-Robust","1","1e-08",0.115,0.09,-0.062,0.292,0.354
"MVMR-cML","1","0.01",1.137,0.218,0.71,1.565,0.855
"MVMR-cML","1","1e-04",1.088,0.247,0.604,1.573,0.969
"MVMR-cML","1","1e-06",1.081,0.247,0.596,1.566,0.97
"MVMR-cML","1","1e-08",1.138,0.304,0.541,1.734,1.193
"FLOW-MR","1","0.01",0.514,0.206,0.139,0.939,0.8
