"Method","Trait","pval","estimate","se","lower","upper","length"
"MR-Robust","1","0.01",0.412,0.027,0.358,0.466,0.108
"MR-Robust","1","1e-04",0.459,0.028,0.404,0.514,0.11
"MR-Robust","1","1e-06",0.507,0.03,0.449,0.565,0.116
"MR-Robust","1","1e-08",0.536,0.032,0.473,0.599,0.126
"FLOW-MR","1","0.01",0.679,0.047,0.595,0.776,0.181
"FLOW-MR","1","1e-04",0.697,0.048,0.612,0.796,0.184
"FLOW-MR","1","1e-06",0.731,0.052,0.641,0.831,0.19
"FLOW-MR","1","1e-08",0.753,0.066,0.641,0.897,0.256
"MR-Horse","1","0.01",0.748,0.049,0.659,0.847,0.188
"MR-Horse","1","1e-04",0.777,0.049,0.688,0.877,0.189
"MR-Horse","1","1e-06",0.793,0.057,0.683,0.911,0.228
"MR-Horse","1","1e-08",0.81,0.059,0.701,0.935,0.234
"IVW","1","0.01",0.477,0.029,0.42,0.535,0.115
"IVW","1","1e-04",0.51,0.032,0.448,0.573,0.125
"IVW","1","1e-06",0.538,0.035,0.469,0.607,0.138
"IVW","1","1e-08",0.568,0.038,0.494,0.642,0.148
"GRAPPLE","1","0.01",0.771,0.05,0.672,0.869,0.197
"GRAPPLE","1","1e-04",0.753,0.05,0.655,0.851,0.196
"GRAPPLE","1","1e-06",0.751,0.052,0.649,0.853,0.204
"GRAPPLE","1","1e-08",0.762,0.054,0.655,0.869,0.214
"MR-Egger","1","0.01",0.475,0.045,0.388,0.563,0.175
"MR-Egger","1","1e-04",0.456,0.05,0.358,0.554,0.196
"MR-Egger","1","1e-06",0.439,0.055,0.331,0.548,0.217
"MR-Egger","1","1e-08",0.446,0.061,0.327,0.565,0.238
"MR-Robust","1","0.01",0.442,0.026,0.391,0.494,0.103
"MR-Robust","1","1e-04",0.479,0.027,0.425,0.532,0.107
"MR-Robust","1","1e-06",0.508,0.03,0.45,0.566,0.116
"MR-Robust","1","1e-08",0.537,0.032,0.475,0.599,0.124
"FLOW-MR","1","0.01",0.735,0.059,0.63,0.851,0.221
"FLOW-MR","1","1e-04",0.737,0.055,0.638,0.85,0.212
"FLOW-MR","1","1e-06",0.758,0.058,0.637,0.869,0.232
"FLOW-MR","1","1e-08",0.768,0.062,0.655,0.883,0.228
"MR-Horse","1","0.01",0.787,0.054,0.691,0.904,0.213
"MR-Horse","1","1e-04",0.793,0.055,0.691,0.902,0.211
"MR-Horse","1","1e-06",0.825,0.063,0.715,0.963,0.248
"MR-Horse","1","1e-08",0.826,0.069,0.705,0.986,0.281
"IVW","1","0.01",0.486,0.031,0.424,0.547,0.123
"IVW","1","1e-04",0.526,0.035,0.458,0.593,0.135
"IVW","1","1e-06",0.569,0.038,0.495,0.643,0.148
"IVW","1","1e-08",0.585,0.041,0.504,0.666,0.162
"GRAPPLE","1","0.01",0.886,0.062,0.765,1.007,0.242
"GRAPPLE","1","1e-04",0.877,0.062,0.755,0.998,0.243
"GRAPPLE","1","1e-06",0.898,0.064,0.772,1.024,0.252
"GRAPPLE","1","1e-08",0.871,0.066,0.74,1.001,0.261
"MR-Egger","1","0.01",0.537,0.051,0.437,0.637,0.2
"MR-Egger","1","1e-04",0.559,0.059,0.443,0.675,0.232
"MR-Egger","1","1e-06",0.591,0.064,0.466,0.717,0.251
"MR-Egger","1","1e-08",0.605,0.073,0.462,0.749,0.287
"MR-Robust","1","0.01",0.439,0.035,0.37,0.508,0.138
"MR-Robust","1","1e-04",0.49,0.041,0.41,0.57,0.16
"MR-Robust","1","1e-06",0.544,0.045,0.455,0.632,0.177
"MR-Robust","1","1e-08",0.567,0.049,0.472,0.662,0.19
"FLOW-MR","1","0.01",0.83,0.064,0.7,0.949,0.249
"FLOW-MR","1","1e-04",0.819,0.07,0.685,0.957,0.272
"FLOW-MR","1","1e-06",0.853,0.072,0.726,0.994,0.268
"FLOW-MR","1","1e-08",0.837,0.071,0.7,0.979,0.279
"MR-Horse","1","0.01",0.895,0.071,0.772,1.055,0.283
"MR-Horse","1","1e-04",0.922,0.071,0.791,1.082,0.291
"MR-Horse","1","1e-06",0.929,0.065,0.818,1.066,0.248
"MR-Horse","1","1e-08",0.939,0.063,0.818,1.065,0.247
"IVW","1","0.01",0.487,0.029,0.431,0.544,0.113
"IVW","1","1e-04",0.537,0.032,0.473,0.6,0.127
"IVW","1","1e-06",0.574,0.035,0.505,0.643,0.138
"IVW","1","1e-08",0.609,0.038,0.534,0.683,0.149
"GRAPPLE","1","0.01",0.821,0.05,0.723,0.92,0.197
"GRAPPLE","1","1e-04",0.858,0.054,0.753,0.963,0.21
"GRAPPLE","1","1e-06",0.854,0.054,0.748,0.961,0.213
"GRAPPLE","1","1e-08",0.88,0.057,0.769,0.991,0.222
"MR-Egger","1","0.01",0.445,0.047,0.353,0.537,0.184
"MR-Egger","1","1e-04",0.461,0.052,0.359,0.563,0.204
"MR-Egger","1","1e-06",0.47,0.057,0.358,0.583,0.225
"MR-Egger","1","1e-08",0.474,0.064,0.349,0.599,0.25
"MR-Robust","1","0.01",0.454,0.03,0.394,0.513,0.119
"MR-Robust","1","1e-04",0.509,0.033,0.444,0.573,0.129
"MR-Robust","1","1e-06",0.544,0.034,0.477,0.611,0.134
"MR-Robust","1","1e-08",0.582,0.037,0.508,0.655,0.147
"FLOW-MR","1","0.01",0.721,0.052,0.624,0.83,0.206
"FLOW-MR","1","1e-04",0.767,0.061,0.659,0.887,0.228
"FLOW-MR","1","1e-06",0.797,0.068,0.678,0.942,0.264
"FLOW-MR","1","1e-08",0.807,0.066,0.686,0.952,0.266
"MR-Horse","1","0.01",0.773,0.047,0.689,0.869,0.18
"MR-Horse","1","1e-04",0.815,0.054,0.725,0.929,0.204
"MR-Horse","1","1e-06",0.85,0.067,0.731,0.986,0.255
"MR-Horse","1","1e-08",0.872,0.062,0.753,1.002,0.249
"IVW","1","0.01",0.501,0.03,0.442,0.559,0.117
"IVW","1","1e-04",0.551,0.033,0.486,0.616,0.13
"IVW","1","1e-06",0.586,0.036,0.516,0.655,0.139
"IVW","1","1e-08",0.624,0.039,0.548,0.699,0.151
"GRAPPLE","1","0.01",0.874,0.056,0.764,0.984,0.22
"GRAPPLE","1","1e-04",0.884,0.057,0.772,0.996,0.224
"GRAPPLE","1","1e-06",0.869,0.056,0.759,0.98,0.221
"GRAPPLE","1","1e-08",0.891,0.059,0.776,1.007,0.231
"MR-Egger","1","0.01",0.527,0.048,0.433,0.622,0.189
"MR-Egger","1","1e-04",0.544,0.055,0.436,0.652,0.216
"MR-Egger","1","1e-06",0.545,0.061,0.426,0.664,0.238
"MR-Egger","1","1e-08",0.554,0.066,0.425,0.684,0.259
"MR-Robust","1","0.01",0.462,0.03,0.403,0.521,0.118
"MR-Robust","1","1e-04",0.516,0.031,0.455,0.577,0.122
"MR-Robust","1","1e-06",0.554,0.034,0.489,0.62,0.131
"MR-Robust","1","1e-08",0.596,0.036,0.525,0.666,0.141
"FLOW-MR","1","0.01",0.813,0.056,0.702,0.921,0.219
"FLOW-MR","1","1e-04",0.813,0.061,0.703,0.93,0.227
"FLOW-MR","1","1e-06",0.818,0.062,0.702,0.945,0.243
"FLOW-MR","1","1e-08",0.837,0.064,0.705,0.969,0.264
"MR-Horse","1","0.01",0.863,0.055,0.762,0.979,0.217
"MR-Horse","1","1e-04",0.914,0.061,0.807,1.04,0.233
"MR-Horse","1","1e-06",0.9,0.062,0.789,1.031,0.242
"MR-Horse","1","1e-08",0.918,0.054,0.817,1.028,0.211
"IVW","1","0.01",0.5,0.029,0.442,0.557,0.115
"IVW","1","1e-04",0.547,0.032,0.485,0.609,0.124
"IVW","1","1e-06",0.597,0.035,0.528,0.665,0.137
"IVW","1","1e-08",0.628,0.037,0.555,0.701,0.146
"GRAPPLE","1","0.01",0.834,0.051,0.734,0.934,0.2
"GRAPPLE","1","1e-04",0.838,0.05,0.74,0.936,0.196
"GRAPPLE","1","1e-06",0.88,0.053,0.776,0.984,0.208
"GRAPPLE","1","1e-08",0.884,0.054,0.778,0.99,0.212
"MR-Egger","1","0.01",0.517,0.049,0.421,0.614,0.193
"MR-Egger","1","1e-04",0.525,0.054,0.418,0.631,0.213
"MR-Egger","1","1e-06",0.558,0.061,0.438,0.679,0.241
"MR-Egger","1","1e-08",0.547,0.068,0.414,0.68,0.266
"MR-Robust","1","0.01",0.465,0.03,0.406,0.524,0.118
"MR-Robust","1","1e-04",0.517,0.031,0.455,0.578,0.123
"MR-Robust","1","1e-06",0.568,0.031,0.507,0.63,0.123
"MR-Robust","1","1e-08",0.601,0.033,0.536,0.666,0.13
"FLOW-MR","1","0.01",0.763,0.064,0.649,0.89,0.241
"FLOW-MR","1","1e-04",0.767,0.05,0.67,0.873,0.203
"FLOW-MR","1","1e-06",0.799,0.064,0.686,0.927,0.241
"FLOW-MR","1","1e-08",0.818,0.069,0.695,0.958,0.263
"MR-Horse","1","0.01",0.816,0.063,0.708,0.954,0.246
"MR-Horse","1","1e-04",0.815,0.06,0.702,0.944,0.242
"MR-Horse","1","1e-06",0.856,0.061,0.752,0.983,0.231
"MR-Horse","1","1e-08",0.863,0.059,0.746,0.978,0.232
"IVW","1","0.01",0.455,0.031,0.395,0.515,0.12
"IVW","1","1e-04",0.494,0.034,0.426,0.561,0.135
"IVW","1","1e-06",0.543,0.038,0.468,0.618,0.15
"IVW","1","1e-08",0.561,0.041,0.481,0.641,0.16
"GRAPPLE","1","0.01",0.728,0.051,0.629,0.828,0.199
"GRAPPLE","1","1e-04",0.738,0.054,0.633,0.843,0.21
"GRAPPLE","1","1e-06",0.791,0.058,0.677,0.904,0.227
"GRAPPLE","1","1e-08",0.775,0.059,0.659,0.891,0.232
"MR-Egger","1","0.01",0.508,0.053,0.404,0.611,0.207
"MR-Egger","1","1e-04",0.508,0.06,0.39,0.625,0.235
"MR-Egger","1","1e-06",0.541,0.067,0.411,0.672,0.261
"MR-Egger","1","1e-08",0.539,0.075,0.392,0.686,0.294
"MR-Robust","1","0.01",0.421,0.027,0.368,0.474,0.106
"MR-Robust","1","1e-04",0.464,0.029,0.407,0.521,0.114
"MR-Robust","1","1e-06",0.514,0.032,0.452,0.576,0.124
"MR-Robust","1","1e-08",0.533,0.034,0.466,0.599,0.133
"FLOW-MR","1","0.01",0.705,0.055,0.613,0.821,0.208
"FLOW-MR","1","1e-04",0.736,0.062,0.621,0.856,0.235
"FLOW-MR","1","1e-06",0.781,0.062,0.674,0.91,0.236
"FLOW-MR","1","1e-08",0.788,0.074,0.646,0.945,0.299
"MR-Horse","1","0.01",0.793,0.054,0.688,0.898,0.21
"MR-Horse","1","1e-04",0.779,0.058,0.669,0.903,0.234
"MR-Horse","1","1e-06",0.842,0.066,0.724,0.989,0.265
"MR-Horse","1","1e-08",0.851,0.076,0.705,0.996,0.291
"IVW","1","0.01",0.495,0.03,0.436,0.554,0.118
"IVW","1","1e-04",0.539,0.034,0.473,0.605,0.132
"IVW","1","1e-06",0.571,0.037,0.499,0.642,0.143
"IVW","1","1e-08",0.6,0.04,0.521,0.678,0.157
"GRAPPLE","1","0.01",0.864,0.055,0.756,0.972,0.216
"GRAPPLE","1","1e-04",0.871,0.057,0.76,0.982,0.222
"GRAPPLE","1","1e-06",0.859,0.057,0.747,0.971,0.224
"GRAPPLE","1","1e-08",0.87,0.061,0.751,0.989,0.238
"MR-Egger","1","0.01",0.468,0.048,0.374,0.561,0.187
"MR-Egger","1","1e-04",0.469,0.054,0.364,0.575,0.211
"MR-Egger","1","1e-06",0.459,0.059,0.344,0.574,0.23
"MR-Egger","1","1e-08",0.458,0.065,0.33,0.586,0.256
"MR-Robust","1","0.01",0.453,0.029,0.397,0.51,0.113
"MR-Robust","1","1e-04",0.504,0.031,0.443,0.564,0.121
"MR-Robust","1","1e-06",0.537,0.033,0.471,0.602,0.131
"MR-Robust","1","1e-08",0.571,0.037,0.498,0.643,0.145
"FLOW-MR","1","0.01",0.777,0.064,0.66,0.909,0.249
"FLOW-MR","1","1e-04",0.799,0.065,0.676,0.926,0.25
"FLOW-MR","1","1e-06",0.8,0.062,0.687,0.918,0.231
"FLOW-MR","1","1e-08",0.817,0.067,0.7,0.952,0.252
"MR-Horse","1","0.01",0.844,0.065,0.728,0.988,0.26
"MR-Horse","1","1e-04",0.882,0.071,0.752,1.031,0.279
"MR-Horse","1","1e-06",0.894,0.065,0.778,1.028,0.25
"MR-Horse","1","1e-08",0.907,0.066,0.78,1.039,0.259
"IVW","1","0.01",0.475,0.03,0.416,0.533,0.117
"IVW","1","1e-04",0.512,0.033,0.447,0.576,0.129
"IVW","1","1e-06",0.557,0.037,0.485,0.629,0.144
"IVW","1","1e-08",0.578,0.039,0.501,0.655,0.154
"GRAPPLE","1","0.01",0.778,0.049,0.681,0.875,0.194
"GRAPPLE","1","1e-04",0.775,0.051,0.675,0.875,0.2
"GRAPPLE","1","1e-06",0.819,0.055,0.711,0.927,0.216
"GRAPPLE","1","1e-08",0.794,0.055,0.686,0.901,0.215
"MR-Egger","1","0.01",0.458,0.05,0.36,0.556,0.196
"MR-Egger","1","1e-04",0.465,0.058,0.351,0.579,0.228
"MR-Egger","1","1e-06",0.488,0.065,0.36,0.615,0.255
"MR-Egger","1","1e-08",0.479,0.071,0.339,0.619,0.28
"MR-Robust","1","0.01",0.444,0.029,0.388,0.501,0.113
"MR-Robust","1","1e-04",0.484,0.03,0.425,0.544,0.119
"MR-Robust","1","1e-06",0.535,0.034,0.469,0.601,0.132
"MR-Robust","1","1e-08",0.553,0.035,0.484,0.621,0.137
"FLOW-MR","1","0.01",0.726,0.056,0.614,0.842,0.228
"FLOW-MR","1","1e-04",0.752,0.058,0.645,0.868,0.223
"FLOW-MR","1","1e-06",0.78,0.065,0.669,0.925,0.256
"FLOW-MR","1","1e-08",0.781,0.062,0.666,0.914,0.248
"MR-Horse","1","0.01",0.762,0.055,0.654,0.874,0.22
"MR-Horse","1","1e-04",0.792,0.06,0.684,0.913,0.229
"MR-Horse","1","1e-06",0.839,0.063,0.724,0.972,0.248
"MR-Horse","1","1e-08",0.818,0.067,0.699,0.959,0.26
"IVW","1","0.01",0.467,0.031,0.406,0.528,0.122
"IVW","1","1e-04",0.514,0.035,0.445,0.582,0.137
"IVW","1","1e-06",0.54,0.038,0.465,0.616,0.151
"IVW","1","1e-08",0.553,0.042,0.471,0.635,0.164
"GRAPPLE","1","0.01",0.771,0.053,0.667,0.876,0.209
"GRAPPLE","1","1e-04",0.797,0.056,0.688,0.907,0.219
"GRAPPLE","1","1e-06",0.78,0.057,0.669,0.891,0.222
"GRAPPLE","1","1e-08",0.75,0.058,0.637,0.864,0.227
"MR-Egger","1","0.01",0.439,0.05,0.34,0.538,0.198
"MR-Egger","1","1e-04",0.454,0.057,0.342,0.565,0.223
"MR-Egger","1","1e-06",0.449,0.064,0.323,0.575,0.252
"MR-Egger","1","1e-08",0.403,0.073,0.26,0.545,0.285
"MR-Robust","1","0.01",0.424,0.028,0.369,0.48,0.111
"MR-Robust","1","1e-04",0.475,0.032,0.413,0.537,0.124
"MR-Robust","1","1e-06",0.504,0.034,0.436,0.571,0.135
"MR-Robust","1","1e-08",0.518,0.037,0.445,0.59,0.145
"FLOW-MR","1","0.01",0.748,0.061,0.637,0.867,0.23
"FLOW-MR","1","1e-04",0.768,0.058,0.656,0.875,0.219
"FLOW-MR","1","1e-06",0.766,0.058,0.66,0.888,0.228
"FLOW-MR","1","1e-08",0.77,0.068,0.648,0.909,0.261
"MR-Horse","1","0.01",0.82,0.061,0.704,0.943,0.239
"MR-Horse","1","1e-04",0.857,0.061,0.746,0.988,0.242
"MR-Horse","1","1e-06",0.844,0.067,0.726,0.991,0.265
"MR-Horse","1","1e-08",0.838,0.061,0.729,0.97,0.241
"IVW","1","0.01",0.493,0.03,0.435,0.552,0.117
"IVW","1","1e-04",0.565,0.033,0.501,0.629,0.128
"IVW","1","1e-06",0.589,0.036,0.519,0.659,0.14
"IVW","1","1e-08",0.615,0.039,0.538,0.692,0.154
"GRAPPLE","1","0.01",0.839,0.053,0.735,0.943,0.208
"GRAPPLE","1","1e-04",0.907,0.056,0.796,1.017,0.221
"GRAPPLE","1","1e-06",0.893,0.057,0.782,1.004,0.222
"GRAPPLE","1","1e-08",0.906,0.06,0.788,1.024,0.236
"MR-Egger","1","0.01",0.499,0.048,0.405,0.594,0.189
"MR-Egger","1","1e-04",0.532,0.053,0.428,0.635,0.207
"MR-Egger","1","1e-06",0.516,0.059,0.4,0.632,0.232
"MR-Egger","1","1e-08",0.519,0.065,0.391,0.647,0.256
"MR-Robust","1","0.01",0.449,0.027,0.396,0.501,0.105
"MR-Robust","1","1e-04",0.52,0.028,0.465,0.575,0.11
"MR-Robust","1","1e-06",0.549,0.031,0.489,0.608,0.119
"MR-Robust","1","1e-08",0.579,0.035,0.511,0.648,0.137
"FLOW-MR","1","0.01",0.719,0.057,0.611,0.827,0.216
"FLOW-MR","1","1e-04",0.784,0.064,0.673,0.916,0.243
"FLOW-MR","1","1e-06",0.807,0.063,0.694,0.934,0.24
"FLOW-MR","1","1e-08",0.828,0.067,0.702,0.968,0.266
"MR-Horse","1","0.01",0.77,0.055,0.67,0.896,0.226
"MR-Horse","1","1e-04",0.824,0.062,0.719,0.961,0.242
"MR-Horse","1","1e-06",0.843,0.059,0.737,0.968,0.231
"MR-Horse","1","1e-08",0.882,0.067,0.764,1.029,0.265
"IVW","1","0.01",0.472,0.03,0.413,0.531,0.118
"IVW","1","1e-04",0.513,0.034,0.447,0.58,0.133
"IVW","1","1e-06",0.542,0.037,0.47,0.614,0.144
"IVW","1","1e-08",0.564,0.04,0.485,0.642,0.157
"GRAPPLE","1","0.01",0.798,0.054,0.692,0.905,0.213
"GRAPPLE","1","1e-04",0.81,0.057,0.698,0.921,0.223
"GRAPPLE","1","1e-06",0.799,0.058,0.686,0.913,0.227
"GRAPPLE","1","1e-08",0.786,0.059,0.67,0.902,0.232
"MR-Egger","1","0.01",0.466,0.048,0.371,0.561,0.19
"MR-Egger","1","1e-04",0.468,0.055,0.359,0.576,0.217
"MR-Egger","1","1e-06",0.458,0.062,0.336,0.58,0.244
"MR-Egger","1","1e-08",0.45,0.07,0.313,0.586,0.273
"MR-Robust","1","0.01",0.425,0.03,0.366,0.484,0.118
"MR-Robust","1","1e-04",0.477,0.035,0.409,0.545,0.136
"MR-Robust","1","1e-06",0.514,0.038,0.44,0.588,0.148
"MR-Robust","1","1e-08",0.541,0.041,0.461,0.622,0.161
"FLOW-MR","1","0.01",0.756,0.067,0.639,0.911,0.272
"FLOW-MR","1","1e-04",0.788,0.055,0.674,0.893,0.219
"FLOW-MR","1","1e-06",0.782,0.067,0.662,0.921,0.259
"FLOW-MR","1","1e-08",0.768,0.069,0.632,0.897,0.265
"MR-Horse","1","0.01",0.853,0.061,0.734,0.972,0.238
"MR-Horse","1","1e-04",0.879,0.056,0.774,0.992,0.218
"MR-Horse","1","1e-06",0.891,0.062,0.788,1.024,0.236
"MR-Horse","1","1e-08",0.867,0.062,0.75,0.992,0.242
"IVW","1","0.01",0.468,0.031,0.407,0.528,0.121
"IVW","1","1e-04",0.529,0.035,0.459,0.598,0.139
"IVW","1","1e-06",0.563,0.039,0.487,0.639,0.152
"IVW","1","1e-08",0.585,0.042,0.503,0.668,0.165
"GRAPPLE","1","0.01",0.76,0.052,0.659,0.861,0.202
"GRAPPLE","1","1e-04",0.819,0.057,0.708,0.931,0.223
"GRAPPLE","1","1e-06",0.823,0.059,0.707,0.939,0.232
"GRAPPLE","1","1e-08",0.815,0.061,0.694,0.935,0.241
"MR-Egger","1","0.01",0.437,0.05,0.339,0.536,0.197
"MR-Egger","1","1e-04",0.495,0.06,0.377,0.613,0.236
"MR-Egger","1","1e-06",0.485,0.067,0.353,0.616,0.263
"MR-Egger","1","1e-08",0.473,0.074,0.327,0.619,0.292
"MR-Robust","1","0.01",0.426,0.027,0.373,0.479,0.106
"MR-Robust","1","1e-04",0.487,0.028,0.433,0.542,0.109
"MR-Robust","1","1e-06",0.522,0.029,0.465,0.579,0.114
"MR-Robust","1","1e-08",0.546,0.033,0.482,0.61,0.128
"FLOW-MR","1","0.01",0.732,0.06,0.621,0.853,0.232
"FLOW-MR","1","1e-04",0.756,0.064,0.642,0.894,0.252
"FLOW-MR","1","1e-06",0.8,0.063,0.688,0.929,0.241
"FLOW-MR","1","1e-08",0.82,0.074,0.667,0.958,0.291
"MR-Horse","1","0.01",0.805,0.066,0.685,0.95,0.265
"MR-Horse","1","1e-04",0.848,0.076,0.717,1.006,0.289
"MR-Horse","1","1e-06",0.89,0.086,0.743,1.096,0.353
"MR-Horse","1","1e-08",0.888,0.081,0.739,1.041,0.302
"IVW","1","0.01",0.482,0.029,0.425,0.539,0.114
"IVW","1","1e-04",0.52,0.032,0.458,0.583,0.125
"IVW","1","1e-06",0.559,0.035,0.49,0.627,0.137
"IVW","1","1e-08",0.585,0.039,0.51,0.661,0.151
"GRAPPLE","1","0.01",0.79,0.049,0.694,0.886,0.192
"GRAPPLE","1","1e-04",0.787,0.05,0.689,0.885,0.196
"GRAPPLE","1","1e-06",0.804,0.052,0.703,0.905,0.202
"GRAPPLE","1","1e-08",0.828,0.056,0.719,0.938,0.219
"MR-Egger","1","0.01",0.511,0.046,0.421,0.602,0.181
"MR-Egger","1","1e-04",0.508,0.052,0.406,0.611,0.205
"MR-Egger","1","1e-06",0.527,0.06,0.41,0.644,0.234
"MR-Egger","1","1e-08",0.536,0.065,0.408,0.663,0.255
"MR-Robust","1","0.01",0.449,0.03,0.391,0.508,0.117
"MR-Robust","1","1e-04",0.494,0.032,0.431,0.557,0.126
"MR-Robust","1","1e-06",0.536,0.034,0.47,0.602,0.132
"MR-Robust","1","1e-08",0.567,0.038,0.492,0.642,0.15
"FLOW-MR","1","0.01",0.742,0.062,0.628,0.87,0.242
"FLOW-MR","1","1e-04",0.75,0.054,0.652,0.865,0.213
"FLOW-MR","1","1e-06",0.76,0.046,0.666,0.85,0.184
"FLOW-MR","1","1e-08",0.783,0.06,0.66,0.899,0.239
"MR-Horse","1","0.01",0.807,0.053,0.712,0.917,0.205
"MR-Horse","1","1e-04",0.806,0.046,0.719,0.898,0.179
"MR-Horse","1","1e-06",0.857,0.059,0.752,0.98,0.228
"MR-Horse","1","1e-08",0.862,0.056,0.759,0.982,0.223
"IVW","1","0.01",0.504,0.029,0.447,0.561,0.114
"IVW","1","1e-04",0.548,0.031,0.487,0.61,0.123
"IVW","1","1e-06",0.6,0.033,0.535,0.665,0.13
"IVW","1","1e-08",0.624,0.035,0.555,0.694,0.139
"GRAPPLE","1","0.01",0.875,0.054,0.769,0.982,0.213
"GRAPPLE","1","1e-04",0.867,0.053,0.763,0.971,0.208
"GRAPPLE","1","1e-06",0.883,0.054,0.778,0.988,0.21
"GRAPPLE","1","1e-08",0.886,0.055,0.779,0.993,0.214
"MR-Egger","1","0.01",0.527,0.048,0.433,0.622,0.189
"MR-Egger","1","1e-04",0.54,0.054,0.434,0.647,0.213
"MR-Egger","1","1e-06",0.559,0.059,0.442,0.675,0.233
"MR-Egger","1","1e-08",0.554,0.065,0.426,0.681,0.255
"MR-Robust","1","0.01",0.474,0.031,0.413,0.534,0.121
"MR-Robust","1","1e-04",0.522,0.032,0.459,0.585,0.126
"MR-Robust","1","1e-06",0.579,0.033,0.513,0.644,0.131
"MR-Robust","1","1e-08",0.607,0.037,0.536,0.679,0.143
"FLOW-MR","1","0.01",0.787,0.066,0.674,0.915,0.241
"FLOW-MR","1","1e-04",0.773,0.053,0.681,0.874,0.193
"FLOW-MR","1","1e-06",0.793,0.056,0.704,0.927,0.223
"FLOW-MR","1","1e-08",0.791,0.063,0.685,0.914,0.229
"MR-Horse","1","0.01",0.828,0.062,0.723,0.961,0.238
"MR-Horse","1","1e-04",0.83,0.058,0.733,0.957,0.224
"MR-Horse","1","1e-06",0.84,0.054,0.739,0.951,0.212
"MR-Horse","1","1e-08",0.853,0.057,0.746,0.971,0.225
"IVW","1","0.01",0.487,0.029,0.43,0.544,0.114
"IVW","1","1e-04",0.532,0.033,0.468,0.596,0.128
"IVW","1","1e-06",0.568,0.035,0.499,0.637,0.138
"IVW","1","1e-08",0.586,0.038,0.511,0.661,0.15
"GRAPPLE","1","0.01",0.828,0.052,0.725,0.93,0.205
"GRAPPLE","1","1e-04",0.841,0.054,0.735,0.947,0.212
"GRAPPLE","1","1e-06",0.845,0.055,0.737,0.952,0.215
"GRAPPLE","1","1e-08",0.823,0.056,0.713,0.932,0.219
"MR-Egger","1","0.01",0.421,0.046,0.331,0.511,0.18
"MR-Egger","1","1e-04",0.435,0.051,0.334,0.536,0.202
"MR-Egger","1","1e-06",0.427,0.055,0.319,0.534,0.215
"MR-Egger","1","1e-08",0.393,0.061,0.274,0.513,0.239
"MR-Robust","1","0.01",0.448,0.03,0.39,0.506,0.116
"MR-Robust","1","1e-04",0.502,0.035,0.434,0.57,0.136
"MR-Robust","1","1e-06",0.546,0.039,0.47,0.622,0.152
"MR-Robust","1","1e-08",0.57,0.042,0.487,0.654,0.167
"FLOW-MR","1","0.01",0.777,0.065,0.657,0.912,0.255
"FLOW-MR","1","1e-04",0.803,0.058,0.696,0.924,0.228
"FLOW-MR","1","1e-06",0.803,0.063,0.693,0.939,0.246
